,Title,Context,,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,URL,Release Date
52,什么是非传染性疾病？看看所国这面墙上的涂鸦就懂了,【南太之声编译报道】来自所罗门群岛霍尼亚拉三所中学选出的20名创意艺术学生参加了为期三天的工作坊，学习如何通过壁画和涂鸦艺术提高人们的意识。《所罗门星报》3月21日报道，本次工作坊是南太平洋共同体“唤醒项目”的一部分。参加者来自Saint Nicholas、Mbua Valley、Coronation and Koloale中学。组织者表示，作为工作坊的一部分，参与者将了解非传染性疾病，以及如何通过艺术提高民众对非传染性疾病的认识。司杜温欣（Si Thu Win Thin，音译）博士和南太平洋社区的其他代表在本地艺术家Lloyd Newton的支持下举办了此次工作坊，帮助参与的学生通过艺术来传达非传染性疾病的信息。随后，学生们创作了一幅以“健康太平洋”为主题的壁画。所罗门卫生和医疗服务部非传染性疾病小组负责人拉桑戈（Nevalyn Laesango）表示，这面墙描绘了一种不健康的生活方式，驶向健康饮食和健康太平洋的未来。拉桑戈说:“这些年轻人自己提出了这个概念，后来将他们的艺术天赋演绎成美丽、多彩和有意义的艺术，展示了关于非传染性疾病的深刻信息。我对这些年轻人展现出的才华、迸发的创造力和团队精神感到惊讶。”她指出，非传染性疾病是所罗门群岛民众面临的主要致命疾病之一，每个人都必须养成健康的饮食习惯，过健康的生活。工作坊于3月14日至3月16日举行。（周晓编译）,,588,教育,所罗门群岛 南太平洋,疾病 传染性 艺术 健康 工作坊 ,南太平洋共同体,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228581&idx=4&sn=901eefd6a60656df50d5f071693822d5&chksm=bef6d81389815105a329c21ca35f0b4b2ac89e68e39828487aab38c28ecf289675040c110e29#rd,1680935078
",2023.3.30
53,想到所罗门群岛做研究？可以，但要有许可！,【南太之声编译报道】所罗门群岛政府近日通过环境、气候变化和灾害管理部警告国际研究人员，在该国进行研究之前必须申请许可。《所罗门星报》3月21日报道，这一警告是在有报道称游客前往西部省Rendova岛进行研究后发出的。这是为了让他们遵守国家法律，因为他们会做笔记，并可能在离开该国时带走一些研究对象。该部门的一份声明称:“游客在国内进行任何研究前必须获得政府的许可。”带领游客在Rendova山区徒步旅行的导游澄清说，游客在离开Rendova时没有带走任何来自所罗门群岛的研究对象。“游客知道我们的法律，所以他们会遵守法律，”导游说。导游补充说，他们只是看到了环境和动物，并与导游和护林员多交谈了一些，因为他们在学习中认识了这些动物。这促使该部监督游客在这里从事的行为，不会做出其他未经国家政府许可的工作。该部还警告说，如果任何国际研究人员想要进行研究，他们必须直接向政府申请，政府批准后他们才能进行研究。尽管该部没有阻止国际研究人员赴所罗门群岛进行研究，但他们必须遵守这里的法律。（周晓编译）,,446,旅游,所罗门群岛 澳大利亚,研究 进行 游客 所罗门 政府 ,联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228581&idx=5&sn=252ea504decc91d591be04eefb4cbc19&chksm=bef6d81389815105e39fa68bc3a27caf6a6bb538da3c8be063ab4d6e349ca6e6c0f667ab1225#rd,1680935078
",2023.3.30
54,是时候被唤醒了！瓦国沉睡的能源巨人是它？,【南太之声编译报道】瓦努阿图篮子有限公司（Vanuatu Basket Limited）的利益相关者近日和气候变化部长雷根瓦努（Ralph Regenvanu）举行了会议，计划并实施维拉港可再生能源生产技术的快速改进。《瓦国日报》3月25日报道，这次会议汇集了贸易部、瓦努阿图电力公司（UNELCO）、公用事业监管机构和椰子油磨坊代表，讨论他们可能如何做到这一点。会议期间，瓦努阿图篮子有限公司负责人托纳（John Tonner）表示，绿色可再生能源生产对瓦努阿图来说并不新鲜，作为一个国家，它有多个生产水电、太阳能发电场和风力涡轮机的运营地点。他进一步质疑瓦努阿图为什么停止使用原椰子油作为可再生能源，为什么现在不再用原椰子油发电。他说：“原椰子油发电并不是新技术，事实上UNELCO的母公司ENGIE公司在新喀里多尼亚成功地进行了这项技术，用来燃烧化石燃料的发电机也可以用原椰子油来提供燃料，简单地说，我们已经没有任何理由继续燃烧化石燃料了。”托纳说，原椰子油是瓦努阿图沉睡的可再生能源巨人，这种被忽视的资源分布在瓦努阿图所有83个岛屿上。“让我们唤醒这个长期沉睡的巨人，让它为可持续的电力生产工作。”虽然原椰子油燃料发电在今天的维拉港并不常见，但就在本世纪初，UNELCO还在发电机中燃烧原椰子油，为维拉港提供可靠的可再生能源。（周晓编译）,,573,历史,瓦努阿图 新喀里多尼亚,瓦努阿图 能源 生产 椰子 椰子油 ,UNELCO,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228550&idx=1&sn=16860920362908514db96fd74689dd4f&chksm=bef6d830898151262e90baf9b27fb472d78b3f4915c39022d24968656bb799885e7a2f7ce251#rd,1680838159
",2023.3.29
55,“政府太不负责任了！”所国西部省预算削减引抗议,【南太之声编译报道】在所罗门群岛西部省2022/2023年的能力发展基金（PCDF）拨款近日被削减140万所罗门群岛元（约合16.95万美元）之后，反对派领袖威尔（Matthew Wale）对政府进行了抨击。《所罗门星报》3月24日报道，威尔说，西部省是最新的受害者，其他省份今年很可能也将经历巨大的财政削减。他强调，政府显然因为太平洋运动会的原因而不再遵守其为民众提供服务的职责。“可悲的是，提供给各省份的服务和发展可能会受到影响，因为政府把太平洋运动会看得比我们的民众更重要。这是多么的不负责任啊！”他继续说，包括其他省份在内的主要预算削减意味着PCDF下的发展项目将受到影响。他说，DCGA政府被误导了，认为以牺牲国家苦苦挣扎的经济为代价，为运动会投入更多资金，将在为期两周的体育赛事举办完成后推动经济增长。但事实上，如果我们在农业、渔业和大多数产品的加工方面生产更多，国家的经济将得到真正的推动。威尔也与西部省行政部门的成员有类似的想法，即国家政府不应该对各省采取欺凌策略。他说，各省应该得到的东西必须正确分配，不应该被政治化。（周晓编译）,,474,历史,所罗门群岛,政府 西部省 削减 所罗门 发展 ,所罗门群岛,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228550&idx=2&sn=702c3bd06da8cc21256499d4d7e2a1e9&chksm=bef6d83089815126e5ebf8732a701c6e9e45bc08c2e9305d3693df3342c1fabe4dced47e6d4a#rd,1680838159
",2023.3.29
56,为保证太平洋运动会的安全，所国要开始抓扒手了……,【南太之声编译报道】所罗门群岛霍尼亚拉市街头反社会行为近日日益增多，为迎接11月和12月举行的太平洋运动会，警方正着手解决这一问题。《所罗门星报》报道，警察专员曼高（Mostyn Mangau）3月23日在他的每周会议上被问及霍尼亚拉手机盗窃案件增加的问题时做出了上述回答。曼高说:“随着街头反社会行为的不断发生，我们正在与其他执法机构制定一项计划，试图遏制霍尼亚拉街头的犯罪率，为太平洋运动会做准备，因此，我们正在考虑处理霍尼亚拉街头的反社会行为问题。”他表示，这不是什么新鲜事，他们实际上已经处理过一些街头扒窃和偷窃手机的问题。“我们设法找回了一些手机，并把它们还给了主人。”他说，一些手机尚未被找回，因为它们要么关机了，要么被锁定。“在某些情况下，我们必须接受法院的命令，并与我们的电信公司联系，锁定被盗手机，使其不能在国内使用。”曼高强调，那些参与这种行为的人必须知道他们无法隐藏，因为有一些程序可以追踪被盗的手机。他还提醒任何购买手机的人都要保管好包装盒。“这个盒子里有重要的信息，如序列号和IMEI号码，服务提供商需要这些信息才能追踪到手机。（周晓编译）,,483,旅游,所罗门群岛,手机 街头 行为 问题 一些 ,所罗门群岛警察局,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228550&idx=3&sn=d8d48ca808ea215302cc0ad83c5fff8b&chksm=bef6d8308981512638f46a09b267f8e5f665eb8e6ea0714549943b58a1707714715f10e870ec#rd,1680838159
",2023.3.29
57,官宣！瓦国护照“反黑小组”要行动了,【南太之声编译报道】瓦努阿图司法部长柯图（John Still Tari Qetu）近日任命了一个调查委员会（COI）来调查该国公民委员会内部的腐败指控。《瓦国日报》3月22日报道，调查将对目前流通的假公民身份证书的指控进行调查，并对外交护照的发放以换取政府没有收到的大笔资金进行调查。司法和社区服务部（MOJCS）证实，柯图已经签署了任命信，总检察长办公室已经在官方公报上公布了调查委员会名单。上周，前总理、Pentecost选区议员萨尔瓦伊（Charlot Salwai）在议会上提出了对公民委员会的指控。瓦努阿图外长纳帕特（Jotham Napat）也承诺对涉及出售国家外交护照的非法交易报告进行调查，并表示瓦努阿图的法律不允许出售这类文件。纳帕特表示，许多人已经获得了外交护照，其中一些人通过正当渠道申请并获得了外交护照。然而，也有一些人未按正当程序获得这些护照。调查委员会将调查这些指控和相关方案，以弄清丑闻的真相。（周晓编译）,,419,历史,瓦努阿图,调查 护照 委员会 指控 外交 ,联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228550&idx=4&sn=3835bf115047005e83dee167e4768a17&chksm=bef6d83089815126a0756cb9d96728dfd065187bce9a227c6271559bde630d8ae49a46acd937#rd,1680838159
",2023.3.28
58,20年70亿美元？美国与这三个岛国将更新协议,【南太之声编译报道】美国国务院一位官员3月23日说，美国总统拜登（Joe Biden）政府正寻求在未来20年向3个太平洋岛国提供超70亿美元的经济援助。英国路透社报道，美国在今年早些时候表示，它已经与马绍尔群岛、帕劳和密克罗尼西亚联邦（FSM）就经济援助的条款达成了共识，谈判将续签《自由联系法》(COFAs)，但没有提供细节。参与COFA谈判的国务院高级官员巴克拉格（Jane Bocklage）在国会听证会上表示，拜登政府的2024财年预算申请包括在20年内为延长COFA协议提供71亿美元。她说，其中包括65亿美元的直接经济援助和6.34亿美元用于在3个岛国扩展美国邮政服务的短期费用。“我们正在非常、非常努力地与这3个国家一起完成最后的谈判。我们的目标是几周，而不是几个月，”巴克拉格补充说。这三个国家抱怨援助没有跟上美国的义务，尽管他们仍然与美国保持密切关系，但批评人士警告说，如果不能达成新的条款，可能会促使他们转向中国寻求资金或增加贸易和旅游往来。美国的基地和军事使用权不受谈判的约束，但专家表示，3国作为主权国家，如果对美国的支持不满，随时可以终止这些协议。（周晓编译）,,493,历史,美国 马绍尔群岛 帕劳 密克罗尼西亚联邦 中国,美国 美元 援助 谈判 20年 ,联合国 自由联系法 美国邮政服务,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228550&idx=5&sn=7380d43791eb4526f32326e8ee26d949&chksm=bef6d8308981512665923375b3eac019bfad55e73e979d4b79bc1f53f9f7afdfd768d34b5247#rd,1680838159
",2023.3.27
59,血汗钱都交了手续费？在澳瓦国劳工开始潜逃……,图为在澳大利亚的瓦努阿图季节性劳工。（图/《瓦国日报》网站截图）【南太之声编译报道】澳大利亚广播公司（ABC）17日发表的一篇文章称，瓦努阿图的季节性劳工给他们在瓦努阿图的家人寄钱而需要支付的手续费最高。《瓦国日报》报道，澳大利亚拉格比农场(Rugby Farm)的一些季节性劳工对汇率表达了不满，领队卡兰加（Samantha Kalanga）称汇率太高了。“大多数时候，当我们把钱寄回瓦努阿图时，我们的家人收到的钱比我们寄回这里的钱要少。”卡兰加指出，2017年到2019年“当时的汇率非常好”。澳大利亚国立大学发展政策中心主任霍沃思（Stephen Howes）说，“向瓦努阿图汇款的平均手续费是11%……这是非常高的”，而其他太平洋岛国的平均成本“略低于10%”。劳工们强调，如果相关部门和瓦努阿图政府不认真对待此事，劳工们将继续潜逃。他们解释说，大多数劳工潜逃的主要原因是，他们正在寻找工作机会，这些工作的报酬足以让他们在寄钱回家时，他们的家人对收到的钱感到满意，不管汇率或平均成本如何。瓦努阿图劳工专员梅尔特诺芬（Murielle Meltenoven）指出，这是一个持续存在的问题，不在劳工部的职权范围之内。她表示，他们已经与国内的一些国际金融机构就此进行了多次讨论，但现在要由政府提出一个符合所有人利益的公平解决方案。（周晓编译）,,572,历史,澳大利亚 瓦努阿图,瓦努阿图 劳工 澳大利亚 汇率 手续费 ,联合国 亚太经合组织 世界银行 国际货币基金组织 国际劳工组织 国际贸易中心 国际移民组织 国际社会保障组织 国际发展组织 国际税收组织 国际经济发展组织 国际能源组织 国际气候变化组织 国际环境保护组织 国际原子能机构 国际原子能组织 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能机构 国际原子能,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228512&idx=1&sn=c76495e799f7ddb6a5d48cf7a5340445&chksm=bef6d9d6898150c0df6d392c09ae5dbe9f6bdad6599c35717b0940328a44f1fe5af66ecd8f66#rd,1680428844
",2023.3.27
60,瓦努阿图与斐济抢“人”？斐济赴该地区的游说小组获赞,图为印尼西巴布亚联合解放运动（ULMWP）临时副外长。（图/《瓦国日报》网站截图）【南太之声编译报道】印尼西巴布亚联合解放运动（ULMWP）临时副外长卡洛兰（Morris Kaloran）近日在游说小组的努力中成功地采取了干预手段，受到斐济民众的赞扬。《瓦国日报》18日报道，卡洛兰敦促瓦努阿图“振作起来”，否则斐济将在维拉港举行的下一次美拉尼西亚先锋集团（MSG）峰会上“得分”。据报道，在认真听取了ULMWP临时领袖温达（Benny Wenda）的呼吁后，斐济总理兰布卡（Sitiveni Rabuka）说：“1989年，在斐济成为MSG正式成员之前，作为当时的总理，我申请斐济成为观察员，从那时起，我们成为了正式成员。”卡洛兰鼓励温达使用斐济的方法来推动ULMWP进入MSG，兰布卡对此印象深刻。他建议游说团队从与斐济最高酋长（Paramount Chiefs）交谈开始，却发现他们已经会面。最高酋长已经邀请游说团队参加5月的大酋长委员会（Great Council of Chiefs Meeting）。卡洛兰向兰布卡解释了酋长们将如何通过习俗向瓦努阿图总理请愿，为他们进入MSG的请求的高潮做出贡献。鉴于温达团队持有澳大利亚和英国护照，卡洛兰建议瓦努阿图政府为其团队提供外交护照。他说，瓦努阿图曾在2014年为联合西巴布亚的主要派别组建ULMWP时提供了资金。（周晓编译）,,591,历史,印尼  瓦努阿图 澳大利亚 英国,瓦努阿图 ULMWP 卡洛兰 游说 MSG ,瓦努阿图联合解放运动（ULMWP）美拉尼西亚先锋集团（MSG）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228511&idx=1&sn=85d61dd80d9d11b0c3989f7add227ef0&chksm=bef6d9e9898150ffdc49949e8c7e60a0f780170506ddd134dda3adf3422efe9e3faa827a6701#rd,1680428730
",2023.3.27
61,瓦国首都这一市场恢复试运营！市场负责人吁商家合理定价,【南太之声编译报道】瓦努阿图维拉港市议会（PVCC）近日提醒该市所有市场供应商，确保他们的商品和农产品定价合理。《瓦国日报》18日报道，这一指示是由维拉港市场负责人瓦特（Sacha Watt）发出的，他说，这是近期海滨市场重新开放时强调的关键信息之一。近期维拉港主要市场恢复服务时，瓦特也向市场供应商重申了同样的信息。他解释说，市场管理层已将摊位费由400瓦图（约合3.42美元）降低至300瓦图（约合2.57美元），这项措施将于本月底生效。他还补充说，如果发现市场供应商对其商品收费过高，将责令其降低价格，并敦促供应商尊重这一决定。目前，市场管理部门正在与Silaevanua市场协会和卢甘维尔的一个市场协会合作，向主要市场供应蔬菜和海岛白菜。另一方面，市场供应商也被提醒，根据气候变化部长发布的命令，市场上禁止出售果蝠和其他鸟类。市场的运营时间为当地时间早上6时到下午5时，让市场供应商有足够的时间准备。瓦特进一步提醒供应商们在去市场之前，在家准备好他们的商品，以避免人群等待。一旦市场恢复满员，市场开放时间将恢复正常。此外，瓦特也向所有人发出邀请，当地餐馆已经开始营业，欢迎大家前来品尝当地厨师烹制的美味佳肴。（周晓编译）,,514,旅游,瓦努阿图 瓦国,市场 供应商 恢复 瓦特 时间 ,PVCC（瓦努阿图维拉港市议会） Silaevanua市场协会 卢甘维尔的一个市场协会 气候变化部长,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228511&idx=2&sn=53310f9cf96dc09e5a269189e85f5fee&chksm=bef6d9e9898150ff7ed53c9621a349c6d1df681845407c96086059707735bd07d654832780ee#rd,1680428730
",2023.3.26
62,真正的风暴还未来临？瓦国联合政府又遇上事了……,【南太之声编译报道】虽然瓦努阿图总理卡尔萨考（Ishmael Kalsakau）领导的联合政府近日正在努力应对热带气旋“朱迪”和“凯文”的严重影响，但有指控称反对派集团将提出不信任动议以推翻政府。《瓦国日报》16日报道，在过去的几周里，有指控称反对派集团将对政府提出不信任动议，该动议将在议会第一次特别会议上进行讨论。然而，反对派领袖拉夫曼（Bob Loughman）否认了这些指控。早些时候，有指控称民族联合党（NUP）将脱离温和党联盟（UMP）领导的联合政府，并加入反对派集团，提出不信任动议。NUP在2022年10月13日举行的提前选举中赢得了4个议会席位。其中一名议员，来自马勒库拉选区的阿桑（Sanick Assang）的当选受到了选举请愿书的质疑，据称他被发现在过去几周与反对派集团会面。联合政府的另一个合作伙伴统一变革运动党（RMC）证实，它无意在这个危机时刻支持不信任动议。据反对派集团内部的可靠消息证实，他们正在与议会议员萨尼克（Sanick）讨论签署不信任动议，除非这两名选举请愿人撤回选举请愿书，他们是马勒库拉选区的前瓦努阿库帕蒂候选人。据报道，目前议会中的反对派集团有21名议员，他们还需要7名议员签署不信任动议，并投票支持动议，以便在本次议会特别会议上推翻卡尔萨考领导的联合政府。,,553,历史,瓦努阿图 马勒库拉 瓦国,动议 反对派 集团 信任 议会 ,瓦国联合政府 民族联合党（NUP） 温和党联盟（UMP） 统一变革运动党（RMC）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228511&idx=3&sn=6c881fbb8ecde148f391e83474d57ee0&chksm=bef6d9e9898150ffb717515602ea19df70f2a28f6d1e4f85fa4f46adc7373c8c0a076c847da6#rd,1680428730
",2023.3.25
63,“系统”继续优化！美拉尼西亚先锋集团新主席讲话说了啥？,【南太之声编译报道】美拉尼西亚先锋集团（MSG）秘书处于14日在瓦努阿图总理卡尔萨考（Ishmael Kalsakau）主持的仪式上纪念了MSG成立35周年。MSG秘书处网站报道，总干事卢马（Leonard Louma）在主题演讲中对总理及其随行人员表示欢迎，并表示总理的出席具有重要意义，因为他同时也是MSG主席和秘书处所在地的负责人。卢马表示，秘书处有信心在卡尔萨考担任主席期间，“我们可以将在MSG的合作关系提升到一个更高的水平”。他说，瓦努阿图凭借自身的实力在MSG中一直是一位领导者。秘书处注意到瓦努阿图提出了两个非常有建设意义的倡议，它们属于同一类型的问题——国际法院关于气候变化责任的倡议和《不扩散化石燃料条约》。这些问题使MSG有别于该地区的其他机构。秘书处对这两个问题感到兴奋，并保证将尽其所能帮助MSG成员支持这些倡议，并获得国际社会支持。卡尔萨考在他的主题演讲中说，在MSG成立之初，许多愤世嫉俗者对我们作为一个群体的愿景、相关性和凝聚力持怀疑态度。但他指出，MSG仍然是可行的，“我们仍然在追求我们的社会、政治、经济和安全利益，强调我们作为美拉尼西亚人的决心、毅力和韧性。”他继续表示，“次区域主义不再被人诟病，而是被视为加强区域合作的基石，这一点在纳入蓝海大陆的太平洋岛国区域架构变革中得到了体现。MSG的次区域主义被证明是正确的。”但他也强调，“虽然MSG取得了很多成就，就像新喀里多尼亚成功列入联合国非殖民化名单一样，各国领导人签署《MSG保护传统知识和文化表达的条约》，以及2012年的技能流动计划，以促进我们的民众在MSG就业，仍有许多工作要做。”他表示，在他担任主席期间，他希望秘书处能够协助各成员解决许多悬而未决的问题，包括MSG贸易协定的运作；推广“技能流动计划”，让民众充分受惠；以及在其他MSG国家颁布关于传统知识和文化表达的必要国内立法，以及其他问题。此外，他还补充说：“在我们走向未来时，我们必须继续保持团结一致，为所有民众的利益开辟有意义的前进道路，不让任何人掉队。”,,859,历史,瓦努阿图 美拉尼西亚 新喀里多尼亚,MSG 秘书处 表示 问题 主席 ,联合国 MSG 《不扩散化石燃料条约》 《MSG保护传统知识和文化表达的条约》 技能流动计划 蓝海大陆的太平洋岛国区域架构变革,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228511&idx=4&sn=a71463905249dba54b4fb42269d11f50&chksm=bef6d9e9898150ff9b89d7f21205003eae460020265f9df2ee2e418cf373d8da74aad429bb7e#rd,1680428730
",2023.3.25
64,为反对日本排放核污水 巴新拉了个新“群”……,【南太之声编译报道】巴布亚新几内亚政府目前仍在与日本政府进行双边会谈，讨论日本可能向太平洋排放100万吨放射性核污水的问题。巴新《国民报》21日报道，巴新Kundiawa-Gembogl省议员迪卢（Muguwa Dilu）近日在议会再次强调这个问题，他表示这违反了1996年的《伦敦公约》和《伦敦议定书》，该公约反对向海洋倾倒核污水。迪卢说，将放射性污水倾倒到太平洋可能会危及大洋洲地区的海洋生态系统，并影响渔业和巴新正在开始利用的蓝碳营销机会。他说：“我国每年从渔业收入中受益约10亿基纳(约合2.84亿美元)，这些收入均来自于海洋。我们的政府和日本政府之间必须就这个问题进行明确的对话，如果可能的话，要阻止日本向太平洋倾倒核污水。”与此同时，巴新外长特卡琴科（Justin Tkatchenko）表示，渔业部长杰塔·王（Jelta Wong，音译）和日本当局此前曾举行过会议以调查此事，并防止这种核污水倾倒到海洋中。特卡琴科说，他还与澳大利亚前外长毕晓普（Julia Bishop）就澳大利亚政府密切关注的问题进行了交谈。他补充说，这个问题已经提交至太平洋岛国论坛，所有领导人都同意太平洋国家和日本之间需要持续对话。（周晓编译）,,516,历史,巴布亚新几内亚 日本 澳大利亚,日本 污水 巴新 政府 太平洋 ,联合国 伦敦公约 伦敦议定书 太平洋岛国论坛,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228511&idx=5&sn=515292846720adb166305a41653a04db&chksm=bef6d9e9898150fff3e1013d9c2ca7ac98f6b86e5b51df5ad5da320e674dc75c0b69a46cd39f#rd,1680428730
",2023.3.25
65,萨摩亚总理到访澳洲签协议 岛国最关心的问题能解决吗？,图为萨摩亚总理马塔阿法。（图/太平洋岛屿新闻协会网站截图）【南太之声编译报道】随着澳大利亚总理阿尔巴尼斯（Anthony Albanese）22日在堪培拉欢迎萨摩亚总理马塔阿法（FiamēNaomi Mata'afa）到访，澳大利亚和萨摩亚签署了一项关于教育和卫生的新协议。澳联社22日报道，马塔阿法在议会大厦受到隆重欢迎，并签署双边协议。她已将气候变化行动和更多区域磋商的必要性提上议程。马塔阿法一直在推动结束化石燃料补贴，并为太平洋地区的气候复原性项目提供更多资金。她还提出了在澳大利亚、新西兰和太平洋岛国之间进行欧洲式自由流动的想法。“人们很难到澳大利亚或新西兰探亲或度假。”在22日与阿尔巴尼斯会谈之前，她在澳大利亚洛伊国际政策研究所（Lowy Institute）的一个活动上表示：“欧洲式共同市场的概念，我们在太平洋地区已经讨论了很长时间。”另外，阿尔巴尼斯表示，他的政府在气候方面的行动有助于加强与该地区的关系。他对议会表示：“与太平洋地区建立良好关系的入场券是在气候变化方面采取行动。这是他们最重视的问题，因为这对他们的生存构成了威胁。”澳大利亚反对党外事发言人伯明翰（Simon Birmingham）也表示，马塔阿法的访问和呼吁在气候变化问题上采取更多行动的演讲，表明了全球合作解决这一问题的必要性。他说:“在全球范围内，各国共同努力可以改变对气候变化的预测，太平洋岛国领导人的声音也许是最有力的声音。”（周晓编译）,,618,旅游,澳大利亚 新西兰 萨摩亚,太平洋 澳大利亚 气候 马塔阿法 萨摩亚 ,联合国 亚太计划 欧洲式共同市场,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228511&idx=6&sn=4bc29bd187bc358619658c8561f0faf1&chksm=bef6d9e9898150ffdd55a092a65bcac3fb091d44bf4e75e64155f54d9da3c860b137f1f49619#rd,1680428730
",2023.3.25
66,所国有了“新”访客 总理和这国代表团谈了啥？,【南太之声编译报道】所罗门群岛总理索加瓦雷（Manasseh Sogavare）近日要求新西兰政府对所罗门群岛目前向新西兰提供的免签证安排采取互惠措施。《所罗门星报》19日报道，总理在与近期访问霍尼亚拉的新西兰外交、国防和贸易委员会代表团的礼节性会晤中提出了这一要求。总理新闻秘书处将此次会晤描述为“富有成果的对话”，内容包括所罗门与新西兰的双边关系和发展合作、新西兰对所罗门群岛的部门援助、互惠的免签证安排、航空服务协议、新西兰认可的季节性雇主计划以及新西兰对所罗门群岛的防疫援助。索加瓦雷说：“由于新西兰正在努力加强其太平洋重置政策，互惠免签安排将有必要纳入该政策，因为这将加强与太平洋地区的接触、伙伴关系和合作。”他还向代表团保证，该国愿意充分致力于并充分利用其与新西兰的双边关系，并就各种国家发展需要进行合作。索加瓦雷还告诉代表团，有必要就双边援助计划、发展合作原则和其他有关的发展重点领域进行更深入的对话。委员会主席莎勒萨（Jenny Salesa）解释说，他们访问所罗门群岛是为了“加强双边关系，为委员会目前对太平洋渔业的调查提供信息，深入了解所罗门群岛的疫情应对措施，并更好地了解区域战略问题。”（周晓编译）,,511,历史,所罗门群岛 新西兰,新西兰 所罗门 群岛 总理 代表团 ,新西兰外交 国防和贸易委员会,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228511&idx=7&sn=14caceac0788398d7ca9371f0a79738f&chksm=bef6d9e9898150ffcb2b9cbc2820e34a74716eb76058ee628ad58548f2b28d30bbe9d9817aa6#rd,1680428730
",2023.3.22
67,用电限流范围将放宽？巴新这项法案要改了,图为巴布亚新几内亚国家能源局（NEA）近日已开始与巴布亚新几内亚电力有限公司（PPL）讨论如何放宽使用太阳能和其他可再生能源的法律。（图/巴新《国民报》网站截图）【南太之声编译报道】巴布亚新几内亚国家能源局（NEA）近日已开始与巴布亚新几内亚电力有限公司（PPL）讨论如何放宽使用太阳能和其他可再生能源的法律。巴新《国民报》20日报道，NEA政策规划和研究部执行经理玛伊思（Timothy Mais）在澄清现有的《独立消费者和竞争委员会法》时表示，该法案明确规定，对于PPL专属区域内的场所，禁止企业和个人进行10兆瓦（MW）以上的自行发电。他表示：“只要需求低于10兆瓦，你仍然会从PPL购买电力。因此，我们的团队正在与PPL会面，讨论我们如何允许竞争，个人也可以使用他们的太阳能或任何其他首选能源。讨论已经开始，希望我们能很快达成协议。”此前，Lae Biscuit公司董事长Ian Chow曾宣布，他打算开展一个太阳能项目，以降低他们高昂的电力成本。他还表示，如果PPL将他告上法庭，他已准备好打一场法律战。PPL首席执行官巴提亚（Batia）拒绝就这一问题发表具体评论，但仍表示：“我们正在与监管机构NEA谈判，以放宽法律，给我们的大客户一些空间。”对于那些离网的情况，美国国际开发署—巴布亚新几内亚电气化伙伴关系项目负责人科贝特（Bruce Corbet）表示，与其试图扩大电网，不如通过微型电网和太阳能系统为巴布亚新几内亚农村人口提供照明。（周晓编译）,,632,历史,巴布亚新几内亚,PPL 巴布亚新几内亚 太阳能 表示 放宽 ,答NEA PPL 美国国际开发署 巴布亚新几内亚电气化伙伴关系项目,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228510&idx=1&sn=cdc2c4375681707d2c9597f3b28dd7bc&chksm=bef6d9e8898150fed2c22555b850da5a0e0e6f5f133ec4afd5478e3a1f9ecf28792e28e54d5c#rd,1680258645
",2023.3.22
