,Title,Context,Unnamed: 2,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,URL,Release Date
69,400万美元=一本瓦国护照？这国外长开始列“清单”了,图为瓦努阿图外长近日宣布将就涉及出售该国外交护照的非法交易发布报告。（图/《瓦国日报》网站截图）【南太之声编译报道】瓦努阿图外长纳帕特（Jotham Napat）17日宣布，他收到了涉及出售该国外交护照的非法交易的报告。《瓦国日报》报道，纳帕特在议会讲话时强调，将对此类交易进行调查，因为瓦努阿图的法律不允许出售这些文件。纳帕特表示，外交护照已发放给许多人，其中一些人通过适当的渠道申请并获得了外交护照。然而，也有一些人未按适当程序获得这些护照。他指出，他收到报告中称，有人被要求为外交护照支付高达5亿瓦图（约合425万美元）的费用，还有人不得不花1亿瓦图（约合85万美元）购买外交护照。他强调，这种出售是不可接受的，需要加以解决。在某些情况下，拥有外交护照的人一开始就不应该获得外交护照，因为他们有犯罪记录。他提到了一个被称为“王子”的人，并质疑金融情报部门如何能在此人有犯罪记录的情况下允许其获得外交护照。纳帕特强调，这是一个严重的问题，需要引起重视。一旦对外交护照销售的调查结束，他将就这一问题发布一份报告。（周晓编译）,,463,历史,瓦努阿图,护照 外交 出售 报告 纳帕特 ,联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228510&idx=3&sn=20c8dc8b155090e0e9075e142615d41c&chksm=bef6d9e8898150fe07e7789bfec0ae9b899f8ad7ec086bbc2228e10565acd0e3bd169e7cc3d7#rd,1680258645
",2023.3.21
72,托克劳新乌鲁就职 重提独立计划,【南太之声编译报道】托克劳近日有了新的乌鲁（政府首脑）卡洛洛（Kelihiano Kalolo）。新西兰RNZ网站13日报道，托克劳国家公共服务总经理维塔莱（Tino Vitale）在一份声明中说，托克劳长老大会主席、副主席和第十二届政府的28名成员已经宣誓就职。他说，乌鲁代表长老理事会将长老会关于部长职位的决定提交给议会成员，供议会批准。托克劳乌鲁每年由各环礁的村长或领袖担任，每年轮换。1月26日在所有三个环礁和行政当局阿皮亚办事处进行了投票。这是托克劳历史上第一次所有三个环礁都参加同一选举进程，而努库诺努环礁的长老先前选择退出。托克劳新任行政长官希金斯（Don Higgins）出席了长老大会。在一段视频讲话中，他阐述了自己在这一职位上的计划。“与托克劳一道努力走上建国之路，这是新西兰、托克劳以及联合国已经同意的事情。为托克劳找到一条走向自决的道路。这些讨论将在托克劳内部重新开始。”2020年，卡洛洛曾起草了关于托克劳从新西兰走向独立的公民投票，将在2025年前举行。,,441,历史,新西兰 托克劳,托克劳 环礁 新西兰 托克 独立 ,联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228510&idx=6&sn=9d33a6633e49d543360689ab51bcaeed&chksm=bef6d9e8898150fe440795fa7350f6db1ec40df6db92aec18d492fe1180685abbe672601e2c2#rd,1680258645
",2023.3.19
73,用一杆秤记录屈辱 基里巴斯巴纳巴人是这样被欧洲人欺骗的,【南太之声编译报道】关注太平洋社区群体的编辑霍古德（Sela Jane Hopgood）3月2日在新西兰Spinoff网刊发署名文章。文章摘编如下：巴纳巴人曾被欺骗，以低于实际价值的价格将土地卖给了英国磷酸盐委员会（British Phosphate Commission）。新西兰奥克兰的一个新展览讲述了他们的故事。尽管我们国家与这个面临流离失所、代际损失和歧视的小岛有着直接的联系，但巴纳巴的故事在新西兰并不经常被提及。巴纳巴也被称为海洋岛，是基里巴斯的一部分，拥有大量的石灰磷酸盐，很快引起了其他国家的注意。在奥克兰温亚德区（Wynyard Quarter）Silo6举办的一场新展览中，展出了旧剪报、照片和一个古老的秤，秤的一边是便士，另一边是一张纸币。28岁的塔布基尼巴纳巴（Zachary Tabukinibanaba）在拉比岛上全职照顾他的父亲，他抵达奥克兰，在3月2日的特别展览活动中表演了一种传统的巴纳巴舞。塔布基尼巴纳巴说:“巴纳巴人不懂英语，也不懂英国货币，所以当埃利斯（Albert Ellis）让巴纳巴人在硬币和1英镑纸币之间做出选择，把磷酸盐储备卖给公司时，巴纳巴人选择了硬币，因为他们认为硬币更重，比纸币更有价值。”英国、澳大利亚和新西兰都通过磷酸盐的开采而繁荣起来，巴纳巴人却得到了像月球表面一样坑洼的土地。塔布基尼巴纳巴带我走到展览的第二个房间，天花板上挂着一幅巨大的精美艺术品。他说:“它展示了我们从巴纳巴到拉比岛的移动。”拉比岛是斐济的一部分。他说：“‘Te Atua Buokara Banaba’的意思是上帝帮助我们——我们是一个基督教国家。”塔布基尼巴纳巴指着一个帐篷，里面有一个手提箱和一块布，上面用红色写着“出售”一词。他说:“历史的重演象征着巴纳巴人移民到拉比岛时，打破了BPC对他们的承诺并戳穿了谎言。”1942年，日本军队入侵巴纳巴，太平洋战争结束后，BPC购买了拉比岛，让巴纳巴人搬到那里。塔布基尼巴纳巴说：“我们在某种程度上是独一无二的，因为我们可以说我们来自两个国家：基里巴斯和斐济。”该展览由政治艺术家奥克兰大学硕士生尼芙（Katja Phutaraksa Neef）制作。尼芙访问了拉比岛，在那里她会见了巴纳巴的长老、妇女和年轻人，从他们的角度记录下了巴纳巴族人的故事、照片、歌曲和舞蹈，并在这个名为“为拉比伸张正义：巴纳巴的故事”的展览中展出。尼芙说：“长老们允许我们分享他们的故事，条件是我们要与全世界分享。我不仅想提高人们对美丽的巴纳巴文化的认识，还想提高人们对巴纳巴社区多年来面临的侵犯人权行为的认识。”（周晓编译）,,1094,历史,英国 澳大利亚 新西兰 基里巴斯 ,巴纳巴 巴纳巴人 展览 拉比岛 一个 ,英国磷酸盐委员会（BritishPhosphateCommission）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228440&idx=1&sn=3daa293e8d918e855bea19af7996aa10&chksm=bef6d9ae898150b8f0d3a57aa906895489eff8e3f0bf3e8aa3ecbd3b08167990a76cf5905cd7#rd,1679812286
",2023.3.19
74,作家：萨摩亚人=食人族？太平洋主题电影引发反思,【南太之声编译报道】作家瓦诺（Kendall Vano）12日在Tagata Pasifika网站刊发评论文章。文章摘编如下：Netflix的电视剧《十月节风云：血与酒》（Oktoberfest:Beer and Blood）讲述了20世纪慕尼黑啤酒节期间两个不和的酿酒厂家族的故事。当我坐下来看这部剧时，它的设定让我很感兴趣。但当他们介绍了太平洋地区的人物，把一群萨摩亚人描绘成食人族时，我感到震惊。萨摩亚移民是由传教士带到德国的。这是一部由Netflix赞助的豪华巨制。在谷歌上简单搜索一下，就能找到一些类似于早期萨摩亚文化的东西。作为汤加和库克群岛的作家，我被深深地羞辱了。我想，“这就是人们对我们的真实看法吗？我认为我们不仅仅是吃小孩的披着骨头的野蛮人。”（剧中）文化表演剧团不准确地描绘了萨摩亚定居者，我也不完全怪他们。雇佣他们的决定是在编剧和制片人一起做出的，他们并不打算描绘太平洋社区的真实情况。这部电视剧于2020年上映，所以制片人不能以是他们时代的产物作为借口。尽管这些场景看起来很有美感，但却忽视了真实性和对我们文化的准确描述。这种冒犯引起了人们的共鸣，迫使我反思自己、我的家庭、民众、身份，以及我如何向世界展示自己。从1932年的《极乐鸟》到1958年的《南太平洋》，好莱坞乃至本地电影一直以来都在不准确地描绘我们的民众。大部分都是彩色背景，但在《蓝湖》（1980年）和《复活节岛》（1994年）中，食人的太平洋岛民的刻板印象仍然存在。我看过的一部电影，正面准确地描绘了我们太平洋地区的文化和民众。2011年的电影《演说家》由萨摩亚电影制作人塔马塞斯（Tusi Tamasese）执导和编剧，讲述了一个生活在萨摩亚的小人物努力获得民众尊重的故事。主题和题材得到了精心的处理，并得到了尊重，没有影响到故事讲述的完整性。《演说家》是由太平洋裔电影制作人编写和指导的。这表明，为了在电影中准确地讲述我们的故事，我们必须成为镜头背后的人，并最终发号施令。《演说家》是一部精心制作的电影，旨在体面地描绘萨摩亚民众及其文化。这种洞察力为我们的电影描绘提供了深度和质感，应该成为行业标准——但事实并非如此。解决办法很简单。我们应该用电影讲述自己的故事。,,930,历史,德国 汤加 库克群岛 萨摩亚,电影 描绘 太平洋 萨摩亚 讲述 ,Netflix TagataPasifika 传教士 Google 联合国 亚太计划 好莱坞 谷歌,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228439&idx=1&sn=aca6fcb83273d57f86fd7edf04ac3b51&chksm=bef6d9a1898150b77eacd127bc1e387e1cba7f3d26a03bbdce5b26f41f02753bef78d9dbac0a#rd,1679731520
",2023.3.18
76,任何议员都可竞选法属波利尼西亚总统！竞选者将希望放在这一群体,【南太之声编译报道】法属波利尼西亚独立党Tavini Huira'atira no Te Ao Ma'ohi的布罗特森（Moetai Brotherson）近日宣布将竞选总统。Island Business网13日报道，法属波利尼西亚议会的任何当选议员都可以提名竞选总统，但布罗特森说:“实际上，Tavini只有三个可能的候选人：特马鲁（Oscar Temaru），然后是现任党派副主席杰罗斯（Tony Geros），第三个是我。”法属波利尼西亚57名议员的选举将于4月16日和30日举行两轮选举。然后议会选举法属波利尼西亚总统，任期五年。特马鲁曾在2004年成功竞选为法属波利尼西亚总统，但由于一系列不信任动议和地方议会的操纵，他在11年里起起伏伏。据报道，在特马鲁当选时，当时的法国海外部长吉拉尔丹（Brigitte Girardin）威胁要“关闭”巴黎对法属波利尼西亚的财政支持，以破坏支持独立的政府。过了近十年后，布罗特森认为，现任法国政府仍然反对Tavini在4月的选举中获胜，“我们觉得，法国正在竭尽全力确保Tapura在即将到来的选举中成功。”布罗特森说，仍有动力进行改革，动员年轻选民参加4月的选举至关重要。“我认为，在即将到来的选举中，应该使用同样的方法，”他说，“我们应该让年轻一代提出改革建议“。,,559,历史,法属波利尼西亚 法国,法属波利尼西亚 选举 竞选 总统 布罗特森 ,联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228439&idx=4&sn=ac11663e64b219161e7fcb7e328ecc9c&chksm=bef6d9a1898150b7305bcf27ccce514fa37f776f409968863584f48c25229e3117da420fda50#rd,1679731520
",2023.3.15
77,“太平洋聚会”落幕，却难掩“分封制”的弊端？,【南太之声编译报道】澳洲国立大学发展政策中心的两位学者萨达娜·森（Sadhana Sen）和豪斯（Stephen Howes）3日在Devpolicy网站刊发署名文章。文章摘编如下：2021年初，太平洋岛国论坛（PIF）的5个密克罗尼西亚成员国决定退出，因为尽管他们认为已经达成共识，由密克罗尼西亚人担任下一任论坛秘书长，但他们的候选人却没有成功当选。自那以后，避免他们退出PIF的努力一直在进行中，并于近日在斐济度假胜地德纳罗（Denarau）举行的领导人特别会议上有了结果，这是该论坛52年历史上举行的第五次领导人特别会议。《苏瓦协议》对密克罗尼西亚来说是一个巨大的胜利，但它有两个问题。首先，不清楚谁将为此买单，其次，它没有提供足够的条件来说服基里巴斯留下来。与其他密克罗尼西亚国家不同，基里巴斯拒绝撤销其退出威胁，也拒绝签署《苏瓦协定》。因此近日在举行PIF领导人特别会议时，斐济新总理兰布卡（Sitiveni Rabuka）访问了基里巴斯。基里巴斯现在得到了保证，它将从《苏瓦协定》中得到一些好处，并最终取消了退出论坛的威胁，还参加了领导人特别会议。反过来，这次会议正式批准了密克罗尼西亚的决定，宣布由一个颇具争议的人物——瑙鲁前总统瓦卡（Baron Waqa）担任下一任PIF秘书长，任期从2024年开始，由来自马绍尔群岛的马诺尼（Filimon Manoni）即日起担任太平洋专员。虽然密克罗尼西亚是该协议的主要赢家，但其他两个地区——美拉尼西亚和波利尼西亚——也获得了一些好处。新任太平洋专员马诺尼目前是论坛唯一的副秘书长，这意味着现在需要填补两个副职，一个由波利尼西亚人填补，另一个由美拉尼西亚人填补。领导人特别会议还同意为波利尼西亚和美拉尼西亚设立新的论坛办事处。重要的是，《德纳罗公报》还解决了另一个问题，即谁将为这一慷慨举动买单。公报宣布，澳大利亚和新西兰将为新办事处和职位的最初费用买单。然而，这些决定也对论坛造成损害，原因有二。第一，三个分区域集团变得更加重要，这意味着论坛作为一个整体已被削弱。今后，更强调分区域的公平和平衡意味着（甚至）更不强调为该整个区域的民众考虑成果。其次，太平洋地区已经有太多的区域性组织和办事处。现在它有了另一个组织（太平洋专员办公室）和另外三个办事处（一个已经商定的分区域办公室，另外两个将随后成立）。2022年太平洋地区领导人的公报哀叹地区“资源动员分散”的事实，并抱怨“对融资的相互竞争需求仍然是主要挑战”。这些领导人现在让同样的情况变得更糟。再多关于“太平洋之路”和“2050愿景”的讨论，再多和解的拥抱，都无法掩盖《德纳罗公报》极具讽刺意味的本质。,,1107,历史,澳大利亚 新西兰 密克罗尼西亚 基里巴斯 瑙鲁 波利尼西亚 美拉尼西亚,太平洋 论坛 一个 领导人 会议 ,太平洋聚会，澳洲国立大学发展政策中心，太平洋岛国论坛，苏瓦协议，德纳罗公报，太平洋专员办公室，太平洋之路，2050愿景。,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228439&idx=5&sn=410301b634f924ad0e84210306a99c59&chksm=bef6d9a1898150b7e6fe87d9b92bcf3410c05c3308b26c5bbc31f582919868df18b3dd1b0b05#rd,1679731520
",2023.3.15
78,瑙鲁“进组申请”已通过 MIF成员增加到10个！,【南太之声编译报道】瑙鲁近日在密克罗尼西亚群岛论坛（MIF）领导人会议期间被接纳为该论坛成员。帕劳《岛屿时报》3月6日报道，2月16日，与议会协商之后，在帕劳提议、楚克州（State of Chuuk）附议下，瑙鲁加入MIF联盟。根据MIF公报，瑙鲁总统库恩（Russ Kun）欣然接受邀请，成为MIF的第10个成员。同时，基里巴斯继续收到邀请，“可根据其自行决定和兴趣”加入MIF。这次年度峰会汇集了密克罗尼西亚地区的六位总督和三位总统。该论坛的成员包括关岛、帕劳、马绍尔群岛、密克罗尼西亚联邦及楚克州、科斯雷岛（Kosrae）、波纳佩州（Pohnpei）和雅浦群岛（Yap）。在会议上，各国领导人还确认，制定了一个区域性的性别平等框架。该建议最初由2018年第24届MIF之后成立的MIF性别平等委员会提出，目的是推进北太平洋地区的性别平等工作。领导人还承诺采取更有目标的努力，将基于性别的工作成为主流，包括能源、海事和农业等部门。在未来两年，各方还将共同努力，调动资源以实现这些成果。,,445,历史,关岛 帕劳 马绍尔群岛 密克罗尼西亚联邦 楚克州 科斯雷岛 波纳佩州 雅浦群岛 瑙鲁 基里巴斯,MIF 瑙鲁 成员 性别 密克罗尼西亚 ,答MIF，密克罗尼西亚群岛论坛，亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228439&idx=6&sn=70e791274a4a6bfb21df3a21a2711dcf&chksm=bef6d9a1898150b7af7ba055ae3d9e3ea5b624826893f5660752f4eaf5a0b4817afd1d1858f5#rd,1679731520
",2023.3.12
79,斐济总理与这位领导人碰面后，印尼“怒”了：太令人失望！,【南太之声编译报道】印尼向斐济政府提出抗议，原因是斐济总理近日会见了一名巴布亚族裔领导人，以鼓舞地区独立运动的士气。东南亚媒体Benar News网3月3日报道，去年12月当选的斐济总理兰布卡（Sitiveni Rabuka）表示，他将支持巴布亚族裔加入联合国承认的美拉尼西亚国家组织。兰布卡和西巴布亚联合解放运动首领温达（Benny Wenda）的会面是在楠迪的德纳鲁（Denarau）举行的太平洋岛国领导人峰会上进行的。温达是流亡在英国伦敦的巴布亚组织负责人，该组织寻求从印尼独立。印尼外交部发言人费扎亚（Teuku Faizasyah）此前曾表示，印尼已向斐济发出外交照会。他说:“我们对斐济总理会见单方面声称代表印尼巴布亚族裔的人深表失望。”兰布卡在他的社交平台“推特”账号中说，他“更希望”温达的团队能够成为美拉尼西亚先锋集团的正式成员。印尼是该集团准成员。分析人士说，兰布卡和温达之间的会晤意义重大，因为斐济在前总理姆拜尼马拉马（Frank Bainimarama）16年的统治下，对巴布亚独立运动不闻不问。这是巴布亚独立运动获得国际承认和合法性的目标的众多障碍之一。据报道，温达说，“给予我们正式成员资格，这样我们就可以与印尼和美拉尼西亚领导人坐下来，为解决印尼和巴布亚之间的冲突找到方法”。,,553,历史, 印尼 美拉尼西亚 英国 伦敦,印尼 总理 温达 领导人 独立 ,联合国 美拉尼西亚国家组织 太平洋岛国领导人峰会 巴布亚联合解放运动,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228412&idx=1&sn=3b75cd471576f8bd746e401d402a721b&chksm=bef6d94a8981505c19e7e0d61a1e12c18723aac58f675923a27cefebc677ef274b4ac15cdc51#rd,1679655555
",2023.3.12
80,从斐济“取经” 库克群岛这些特殊社会群体有福了,【南太之声编译报道】库克群岛监察专员拉特尔（Niki Rattle）近日从斐济参加完会议后带回了新想法，因为该国正在寻求建立一个人权研究所。库克新闻网2日报道，在斐济楠迪举行的太平洋地区国家人权机构论坛（NHRI）有来自几个国家的代表参加。库克群岛监察专员办公室正在建立一个国家人权机构。拉特尔此前曾表示，NHRI将关注LGBTQI性少数群体的权利，以及残疾人权利。拉特尔说:“《巴黎原则》是适用NHRI的基本要求，迄今为止，全球人权机构协会（GANHRI）的认证程序已将萨摩亚评为‘A’级，库克群岛也希望能够达到这一评级。”然而，拉特尔还指出，由于缺乏资源，图瓦卢监察员办公室在实施整个计划方面存在困难，但正在努力取得进展。他说:“我们正在以萨摩亚监察员办公室的成功经验为指导，并吸取图瓦卢的经验教训，以确保建立计划对我们有利。当然，我们的支持伙伴已经通过技术支持和财政援助公开表示支持，特别是在我们与Pa Enua外岛协商的努力中发挥重要作用。”他继续指出，“我们正准备向Pa Enua外岛伸出援手，将信息简化并翻译成各种方言，以便于理解，并收集社区的意见。”他说:“监察员办公室是一个独立的机构，我们期望政府能支持我们的工作。最令人激动的是，斐济司法部长图拉加（Hon Sirome Turaga）在第一届NHRI会议上发表了开幕演讲，这是他成为部长后第一次在议会以外的场合正式发言。”,,596,历史, 萨摩亚 图瓦卢,库克 群岛 拉特尔 正在 人权 ,NHRI，GANHRI，PaEnua，巴黎原则,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228412&idx=2&sn=43d3faf56f98e4d08bedce9561353c71&chksm=bef6d94a8981505cbea8f856caeb7a1067e93c4e28f12884ea0d42bc09016640713d8e3cda3d#rd,1679655555
",2023.3.11
81,日本快被拉入黑名单？太平洋“长老们”再发声,【南太之声编译报道】太平洋长者之声（PEV）近日表示，日本执意计划将泄露的福岛核电站的放射性污染水排放到太平洋，这是对该地区居民人权的“无视”。太平洋岛国时报3月3日报道，PEV表示:“我们看到了很多极具说服力的理由来反对将福岛核污水排放到太平洋。”声明中还提到:“我们目前面临的气候和生物多样性紧急情况已经对我们的水域构成了严重威胁，因此，任何政府故意用最具成本效益的选择——排放放射性物质污染太平洋的决定，都是有悖常理的。”太平洋岛国论坛早些时候援引一个专家小组的独立评估称，没有足够的数据将日本即将排放的污水归类为“对太平洋民众和海洋生物多样性安全的”。PEV补充说:“我们非常希望日本政府能够尊重该地区民众和环境的关切，不应该将放射性核污水排放到海洋中，对蓝色太平洋和太平洋小岛屿发展中国家（PSIDS）最大的经济基础产生影响。”PEV成员包括马绍尔群岛前总统海因（Hilde Heine）、帕劳前总统雷门格绍（Tommy Remengesau）、基里巴斯前总统艾诺特·汤(Anote Tong)、图瓦卢前总理索波阿加(Enele Sopoaga)、太平洋岛国论坛秘书处前秘书长泰勒（Dame Meg Taylor）等。,,514,历史,日本 马绍尔群岛 帕劳 基里巴斯 图瓦卢,太平洋 排放 日本 PEV 放射性 ,太平洋长者之声（PEV） 太平洋岛国论坛 太平洋岛国论坛时报 太平洋岛国论坛秘书处 太平洋小岛屿发展中国家（PSIDS）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228412&idx=3&sn=ad2568cce7ac36f5d613218820732030&chksm=bef6d94a8981505ce41bd3d4a763fa40c2f1c611a1056e522988a46f00d4074063f17b2c8c43#rd,1679655555
",2023.3.11
82,受工伤后被解雇 在澳打工的所国劳工这次忍无可忍了……,【南太之声编译报道】通过太平洋澳大利亚劳工流动计划（PALM）在澳大利亚农场工作的两名所罗门群岛劳工，近日因在工作中受伤而起诉其雇主。《所罗门星报》6日报道，兰西（Thomas Lency）和塔泰奥拉（Morris Tataiora）去年都在工作时受伤。从那以后，他们在养伤期间一直失业。案子正在审理中。两人的代理律师斯科特（Garry Scott）表示，他正在对雇佣他们从事危险工作和威胁到健康安全工作的公司提起诉讼。去年11月13日，兰西抵达澳大利亚，与其他10个来自所罗门群岛的男孩一起在香蕉农场Fresh Yellow工作。在入职一个多月后，兰西在工作中滑倒，手部骨折。在做完手术回来后，他的主管说，如果他缺席工作超过4至6周，工作签证将被取消。另一方面，来自小马莱塔帕拉斯的塔泰奥拉（Morris Tataiora）也于去年加入了太平洋人力资源公司的会期工作计划。塔泰奥拉说，他是在午休时间从越野车后面摔下来的，当时他们的老板来接他们吃午饭。他说，越野车的拖车已经满了，所以他们中的一些人以危险的姿势坐着休息。据悉，许多所罗门群岛劳工因PALM计划在澳大利亚农场工作时受伤。然而，由于对澳洲劳工的法律缺乏了解，加上语言障碍，所罗门群岛的劳工常常不敢发声，害怕被解雇。兰西和塔泰奥拉对其前雇主的诉讼是首例，如果他们胜诉，将使PALM计划下的所罗门群岛劳工“大开眼界”。,,588,历史,所罗门群岛 澳大利亚,工作 劳工 所罗门 群岛 澳大利亚 ,太平洋澳大利亚劳工流动计划（PALM）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228412&idx=4&sn=d9e971becad51947033e8fcb442223c8&chksm=bef6d94a8981505cc42b567a4d074d4aeb0d7953964f0f818ac88368008d9ee43d323aa4512b#rd,1679655555
",2023.3.10
83,库克群岛接过会旗 PIF大家庭能再团结吗？,【南太之声编译报道】“让我们开始工作吧！”这是库克群岛总理布朗（Mark Brown）在2月24日斐济举行的太平洋岛屿论坛（PIF）特别领导人活动闭幕式上，对支持他出席的库克群岛代表团所说的话。库克群岛政府官网3月1日报道，在回顾特别领导人活动的成果时，布朗说:“斐济作为论坛主席的出色领导，对我们论坛大家庭的全面统一起到了重要作用，包括基里巴斯的回归。我很高兴在最近的可持续发展会议上与其他领导人合作，实现了我们对论坛统一和团结的集体政治承诺，包括去年6月达成的《苏瓦协议》中详细规定的承诺。”在特别领导人活动闭幕式上，布朗从即将离任的太平洋岛国论坛主席兰布卡（Sitiveni Rabuka）手中接过会旗，就任太平洋岛国论坛主席。谈到自己作为太平洋岛国论坛主席的领导方式，布朗说:“库克群岛长期以来一直认识到，作为一个地区，我们团结在一起会更强大。我们一直是太平洋团结与统一的坚定倡导者，并确保在我们的集体努力中，论坛大家庭中最脆弱的群体得到支持。”未来几周，库克群岛外交和移民部秘书处（MFAI）将与PIF秘书处进行进一步讨论，以确定作为主席的未来工作计划和成果、PIF领导人会议的日期和主题。MFAI预计会议的日期和主题将在3月底前公布。与库克群岛在2012年举办的PIF领导人会议类似，预计将成立一个多机构委员会，以确保在2023年成功举办。,,576,历史, 基里巴斯 库克群岛,论坛 库克 群岛 领导人 PIF ,太平洋岛屿论坛（PIF） 苏瓦协议,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228412&idx=5&sn=01fdab1eca34b336da48ac43e868993b&chksm=bef6d94a8981505c64127f4a049e0c3943addf83583e0edef13d2c536703ff5b0bbcf5c0d5bc#rd,1679655555
",2023.3.10
84,瓦国原住民笑呵呵 原来WTO也出了“岛国版”,【南太之声编译报道】《太平洋更紧密经济关系协定》（PACER Plus）近日将为瓦努阿图人提供更好的就业机会，为民众开辟新的就业渠道，有助于减少贫困，并改善社区的整体福祉。《瓦国日报》3月1日报道，上述言论是由瓦努阿图外交、国际合作和对外贸易部长纳帕特（Jotham Napat）2月28日在Warwick Le Lagon度假村举行的PACER Plus全国宣传活动正式开幕式上发表的。PACER Plus是一项专注于发展的特殊贸易投资协定，旨在降低贸易和投资壁垒，同时促进区域经济增长和繁荣。自PACER Plus于2020年12月13日生效以来，已有10个太平洋岛国论坛成员批准并成为缔约国。它们是澳大利亚、库克群岛、基里巴斯、新西兰、纽埃、萨摩亚、所罗门群岛、汤加、图瓦卢和瓦努阿图。瑙鲁已经签署但尚未批准该协议。根据PACER Plus执行单位（IU）的数据，瓦努阿图通过批准该协议，在促进经济发展和改善民众生活方面迈出了重要一步。“它将降低与澳大利亚和新西兰贸易的商品关税，还将为瓦努阿图提供机会，使其受益于澳大利亚和新西兰的服务和投资市场，从而增加贸易和外国直接投资，”PACER Plus IU在一份声明中表示。声明中还提到，“提高劳动力流动性是我们看到的优点之一。据统计，约有1.2万名瓦努阿图原住民参加了认可季节性雇主（RSE）和季节性劳工计划（SWP）。”,,589,历史,澳大利亚 库克群岛 基里巴斯 新西兰 纽埃 萨摩亚 所罗门群岛 汤加 图瓦卢和瓦努阿图 瑙鲁,Plus PACER 瓦努阿图 贸易 投资 ,WTO PACERPlus 认可季节性雇主（RSE） 季节性劳工计划（SWP） 太平洋岛国论坛成员,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228412&idx=6&sn=155415f4ea1c4893599ff4aa68c30869&chksm=bef6d94a8981505cdc062e76c97f73487cb50deba09bdd0c05e742e0b1719927df607f9848a4#rd,1679655555
",2023.3.10
85,绝不能成为“太平洋切尔诺贝利”！这个岛国喊话日本取消排放核污水,【南太之声编译报道】巴布亚新几内亚渔业和海洋资源部长杰塔·王（Jelta Wong，音译）近日呼吁日本取消向太平洋倾倒100多万吨福岛核污水计划。澳大利亚《信使邮报》6日报道，他说，这对太平洋岛民的生命、对世界各地鱼类和其他海产品消费者的健康构成的风险太高，因此绝不能继续排放核污水。他强调:“太平洋岛国与日本是亲密伙伴，我们怀着敬意共同表示，我们不能接受日本释放核裂变产物，让它在我们的海域扩散。毫无疑问，这些核污水会进入生态系统和食物链，从而污染人类生存，也会损害太平洋渔业的发展。如果排放这些核污水，这里将成为‘太平洋切尔诺贝利’，在未来几十年对我们的民众造成伤害。”他补充说：“日本比大多数国家更了解残留的放射性物质对人体健康造成的危害，在广岛和长崎原子弹爆炸后的几十年里，这些放射性物质继续造成成千上万的日本人或死或残。”他表示，虽然核污水将得到一定程度的处理，但拥有受污染核设施的东京电力公司（TEPCO）甚至已经证实（排放）存在风险。“向海洋释放放射性物质是太平洋民众所不能接受的，我们呼吁我们的朋友和日本同行重新考虑他们的计划。”,,473,历史,巴布亚新几内亚 澳大利亚 日本,太平洋 日本 污水 排放 这些 ,联合国 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228349&idx=1&sn=e05a1d22ebe54fb5404b677b3d2f98a9&chksm=bef6d90b8981501da425d409e105fec75616c4e22bfdfd1f684f0b1a70be3df22e3178bdbac5#rd,1679206210
",2023.3.9
