,Title,Context,Unnamed: 2,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,URL,Release Date
150,超60户家庭已接入电网！瓦国新能源计划继续推进,【南太之声编译报道】由于瓦努阿图政府近日为减少温室气体排放方面做出了积极的努力，北部彭特科特岛（North Pentecost）罗尔顿市（Loltong）的微型水电光伏太阳能混合微型电网系统改变了村民的生活。《瓦国日报》14日报道，通过气候变化部，政府一直在减少化石燃料和石油能源的燃烧以生产电力，用可靠的可再生能源（RE）技术作为替代。自2021年10月该系统投入使用以来，已有60多户家庭接入电网，他们的生活得到了很大的改善。传统耗时的烹饪方式似乎已成为过去。民众现在用电饭锅做饭，把水壶插到电源插座上烧水。他们可以将稀缺的肉类和其他食物储存在冰柜里。有了电，妇女们可以在晚上进行编织和缝纫，孩子们可以在灯光下做作业，举行家庭聚会也变得轻而易举。但是，不仅仅是家庭，企业也从中受益，还有两所学校、教堂、诊所和社区建筑也因此获益。木工、汽车和船舶修理厂在使用电动工具后，也变得更加高效，因为使用可再生能源发电比柴油发电机更便宜。此外，组织社区活动也变得更加简单。（周晓编译）,,438,文化,瓦努阿图 瓦国,家庭 能源 电网 使用 可以 ,瓦国新能源计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227976&idx=3&sn=d397999302e3bcb142004e339e62dc31&chksm=bef6dffe898156e87c89d76dd8afcea9299b6ebd7a2a30cd6a1546246c1631817e9f7362c6e8#rd,1676018094
",2023.1.18
152,瓦国专家引用圣经这句话谈反腐,【南太之声编译报道】“2021年和2022年的两次调查证实，瓦努阿图议员、公务员以及私营部门的腐败现象太多了。”瓦努阿图透明国际（TIV）首席执行官托孔（Willie Tokon）根据瓦努阿图专业人士所做的调查里有关公民的亲身经历，讲述了这个令人震惊的事实。《瓦国日报》14日报道，上个月，他在East Efate的Epau村举行了为期16天的国际反腐败和人权行动，并在庆祝活动结束时透露了这一消息。托孔说：“腐败和人权是密切相关的，这意味着只要有腐败，人权就会被忽视，特别是在没有发言权的社区。在任何社区，腐败所带来的都是糟糕的医疗服务、糟糕的教育系统和交通系统瘫痪，因为这意味着领导人为了个人利益而剥夺了社区的权利。”监察员布鲁（Hamilson Bulu）引用《圣经》中的一句话：“从一开始，上帝的话语就提醒你——你希望别人怎样对待你，你就怎样对待别人。”他在文化方面提醒民众，根据《圣经》，每个人都有义务照顾其家庭的每个成员。瓦努阿图非政府组织协会（VANGO）首席执行官纳萨克（William Nasak）也表示，腐败与文化有关。“我们必须团结起来打击腐败，”他说。纳萨克还指出，现在清除腐败对下一代的安全、快乐和安全至关重要。（周晓编译）,,525,文化,瓦努阿图,腐败 瓦努阿图 圣经 人权 社区 ,瓦努阿图透明国际（TIV） 瓦努阿图非政府组织协会（VANGO）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227976&idx=5&sn=9cc2349f34cfa71e64773c6e3e0da9f8&chksm=bef6dffe898156e8c1b360c4f2eff5a1e07ce3ee9b4237281227a32d883be96dbf19358f5feb#rd,1676018094
",2023.1.15
158,“引进新捕鱼技术很有必要” 瓦国官方分享最新渔业发展方案,【南太之声编译报道】瓦努阿图渔业部（DoF）近日通过其代理部长塔雷奥（Tony Taleo）和海产部代理经理詹姆斯（Sammy James）分享了该部在今年加强和支持乡村渔业发展计划（VSDP）和水产养殖项目（后院池塘养殖）的不同战略。《瓦国日报》6日报道，由于扩展服务的主要目标是为不同试点地点的不同渔业协会提供当地支持和培训，以维护其渔业设备，并在当地和全国范围内销售鱼类，因此，DoF正在制定计划，向瓦努阿图各地的渔业协会分发集鱼装置（FADs）和制冰机，以提高收获后处理的安全性和海鲜产品质量。同时通过宣传指导鼓励资源的可持续性。詹姆斯说:“引进不同的捕鱼技术对海洋资源的可持续性和保护非常重要，因为它促使渔民不要总是在珊瑚礁上捕鱼，而是将捕鱼路线延伸到更远的海洋中，以捕捞优质的海洋资源。”詹姆斯补充说：“这将有助于珊瑚礁和生活在珊瑚礁上的鱼类重新繁殖，并养活未来的人口。”水产养殖项目的目的是确定如何在气候变化危机期间以最有效的方式帮助不同社区建立抵御能力。因此，渔业部门必须与政府一起加强其渔业扩展服务以及水产养殖项目，因为这些举措将在经济上造福社区和国家，并支持适应和保护措施。（周晓编译）,,503,文化,瓦努阿图,渔业 不同 捕鱼 养殖 詹姆斯 ,VSDP（乡村渔业发展计划） 后院池塘养殖项目,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227931&idx=4&sn=af6d3b54aa6b41730dbabfbff2e33241&chksm=bef6dfad898156bb93be06aa37482a5b767a005e6b4c70f77568200b7ebd3ddf762dd260a8f7#rd,1675471389
",2023.1.12
173,收获温暖和贴心祝福 中国警员为所罗门警察家庭送上“圣诞礼包”,圣诞节期间，所罗门群岛皇家警察部队（RSIPF）及中国警务顾问组（CPLT）的警员在组长张广保（Zhang Guangbao）的带领下，探访了5名RSIPF警员的家人。《所罗门星报》28日报道，中国警务顾问组在访问期间赠送了一些日常用品，并送上了温暖的圣诞祝福。这些家庭大多在面临医疗状况的同时，也面临着诸多困难。顾问组警员与每个家庭进行了面对面的交谈，对他们的境遇表示同情，并愿意为他们提供帮助。张广保表示：“中国警务顾问组在所罗门群岛协助RSIPF能力建设已近一年，与RSIPF官员建立了良好的伙伴关系和兄弟情谊。”他说：“RSIPF的同事们真诚、友好，为日常工作和重要行动奉献自己的力量。他们值得我们发自内心地尊重和赞赏。”张广保祝愿警员们早日渡过目前的难关，继续为维护所罗门群岛的法律和治安发挥积极作用。接受援助的警员对中国警务顾问组表示感谢。他们说，中方同事所做的一切让他们深受感动。RSIPF警员感谢顾问组的到访，在他们困难的时候给予慷慨支持，他们将永远铭记中方同事的善意和友谊。,,446,文化,所罗门群岛 中国,警员 RSIPF 顾问组 中国 所罗门 ,所罗门群岛皇家警察部队（RSIPF） 中国警务顾问组（CPLT）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227839&idx=4&sn=a87b2e53d2f499dc7113f11bd79f0159&chksm=bef6df098981561fb808c78f92fe28cc35e497e94dc5d3c57e42c032bac0993be6f6c046a182#rd,1674810442
",2022.12.29
174,斐济日报第2032期 2022年12月31日出版,斐济日报电子报每周六同步更新至“南太之声”App，微信公众号在次周一发布。新货到！本公司从韩国直接进口各类产品：方便面（辛拉面、炸酱面、安城汤面等）、韩国辣酱、各类酱料、食用油、各种口味海苔、韩国饮料（大小包装均有）、速溶咖啡、听装咖啡、多种类韩国品牌面膜、菲诗小铺洗面奶等。本批次产品销售均为批发价，欢迎来电咨询。=======================================================2022年12月31日出版斐济日报电子报本篇文章版权归斐济日报所有，未经授权许可，其他媒体不得转载。如需转载或改编，请联系斐济日报新媒体事业部。邮箱：fijidaily@gmail.com,,307,文化,韩国,日报 韩国 2022年 12月 31日 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227839&idx=5&sn=01cb4f2491feb2b9e97f6287972bb248&chksm=bef6df098981561f47c9fb672cd494ea9e9d0bbcc37820746b75733324332a6e1c9f45d04d79#rd,1674810442
",2022.12.28
183,斐济日报第2031期 2022年12月24日出版,斐济日报电子报每周六同步更新至“南太之声”App，微信公众号在次周一发布。新货到！本公司从韩国直接进口各类产品：方便面（辛拉面、炸酱面、安城汤面等）、韩国辣酱、各类酱料、食用油、各种口味海苔、韩国饮料（大小包装均有）、速溶咖啡、听装咖啡、多种类韩国品牌面膜、菲诗小铺洗面奶等。本批次产品销售均为批发价，欢迎来电咨询。=======================================================2022年12月24日出版斐济日报电子报本篇文章版权归斐济日报所有，未经授权许可，其他媒体不得转载。如需转载或改编，请联系斐济日报新媒体事业部。邮箱：fijidaily@gmail.com,,307,文化,韩国,日报 韩国 2022年 12月 24日 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227804&idx=8&sn=23bbc6704c86f6955d041d38ba88905b&chksm=bef6df2a8981563cab9f22135c14b2de6ee0877772d447bb09d2575afd8c8aae3f2b3dc2126f#rd,1674279131
",2022.12.22
185,堕胎仍非法 瓦努阿图建议性侵受害者服用紧急避孕药,由于堕胎在瓦努阿图仍是非法行为，瓦努阿图妇女中心（VWC）的社区教育工作者近日建议强奸和近亲通婚的女性受害者可以服用维拉中心医院（VCH）提供的避孕药，以避免意外怀孕。除此之外，维拉中心医院医生还建议性生活频繁的16-18岁学生使用避孕药。不过，医生也指出，这并非是避免性传播疾病的“灵丹妙药”。《瓦国日报》17日报道，VWC认为，应该劝阻性侵受害者堕胎，并鼓励她们在犯罪发生后尽快服用避孕药。虽然瓦努阿图基督教委员会（VCC）和马尔瓦图毛里酋长委员会也认为，不应该鼓励性侵受害者堕胎，但他们对如何解决这个问题有不同的看法。VCC主席凯莱布（Collin Caleb）牧师表示，不应该只有妇女和女孩背负着寻找方法避免因性侵犯而意外怀孕的想法。男性一样要有责任感。社会上的男人不仅要停止近亲通婚和强奸，还要停止通奸和私通行为，因为这是违反圣经原则的。另外，维拉中心医院助产士纳吉（Elvie Naki）表示，性传播疾病的女性和男性应被告知，避孕药不能完全避免性传播感染。避孕套可以是一种预防方法，但当避孕套破裂时就会出现问题。（萨琳编译）,,468,文化,瓦努阿图 马尔瓦图,避孕药 堕胎 瓦努阿图 受害者 中心 ,瓦努阿图妇女中心（VWC） 维拉中心医院（VCH） 瓦努阿图基督教委员会（VCC） 马尔瓦图毛里酋长委员会,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227759&idx=2&sn=c8c2f9d1f6c7a8f0e29e6d4744abff6e&chksm=bef6dcd9898155cfcd17c15aa97e91670925588134ba9a471f86b68546bb11c1f486655c8c6f#rd,1674214804
",2022.12.20
198,斐济日报第2030期 2022年12月17日出版,斐济日报电子报每周六同步更新至“南太之声”App，微信公众号在次周一发布。新货到！本公司从韩国直接进口各类产品：方便面（辛拉面、炸酱面、安城汤面等）、韩国辣酱、各类酱料、食用油、各种口味海苔、韩国饮料（大小包装均有）、速溶咖啡、听装咖啡、多种类韩国品牌面膜、菲诗小铺洗面奶等。本批次产品销售均为批发价，欢迎来电咨询。=======================================================2022年12月17日出版斐济日报电子报本篇文章版权归斐济日报所有，未经授权许可，其他媒体不得转载。如需转载或改编，请联系斐济日报新媒体事业部。邮箱：fijidaily@gmail.com,,307,文化,韩国 ,日报 韩国 2022年 12月 17日 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227700&idx=2&sn=094070f67347950e7079711da13c9092&chksm=bef6dc82898155941dda8cfae9ab150b77f273badc2e9240609e0c0391e81bdf66478c3c45d9#rd,1673601717
",2022.12.13
202,“信号太差看不了世界杯！”所罗门部分社区民众表不满,所罗门群岛马莱塔省West Kwara'ae的Dala北社区的电信网络用户近日对当前的网络覆盖不满意。《所罗门星报》8日报道，从上周开始，Dala北社区的夜间信号覆盖率非常差，而且在夜间也不可靠。他们表示，这种情况使那些想要通过互联网服务观看世界杯比赛的移动用户无法访问。另外，该地区的网络服务只在白天有效，在夜间则进入紧急模式。前马莱塔省第4区议会议员玛尼（Steward Mani）证实，“从上周开始，Dala北部地区的移动用户在夜间遇到了网络信号弱的情况。这确实影响了那些想用手机观看世界杯比赛的人。”在这一点上，玛尼呼吁电信公司考虑到这一情况，并在Dala北部地区和其他同样受到影响的社区升级网络覆盖。玛尼补充说，村民们已经对“TTV Now”应用程序感到兴奋，但糟糕的网络覆盖状况使他们无法使用，这让许多想要观看自己喜爱的世界杯球队比赛的人感到沮丧。,,380,文化,所罗门群岛,网络 世界杯 社区 夜间 信号 ,联合国 亚太经合组织 世界卫生组织 所罗门群岛联邦政府 所罗门群岛联邦电信公司 TTVNow应用程序。,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227643&idx=1&sn=6ad9b6935ba492317ae0ee8ab1ddbd63&chksm=bef6dc4d8981555bca5aa3de02c76479e1398eb95a129531c5ca79a51a373746a14ee9c48c71#rd,1673167366
",2022.12.10
205,瓦努阿图劳动部：不延长在澳新打工的季节性工人合同,瓦努阿图劳动和就业服务部近日通过专员麦尔特诺文（Murielle Meltenoven）宣布，他们决定不允许延长在新西兰和澳大利亚参加劳动力流动计划（Labour Mobility）的瓦努阿图季节性工人的合同。《瓦国日报》12月7日报道，据了解，在封锁之前，工人离开瓦努阿图，在固定时间内按照固定合同工作。不幸的是，疫情导致了封锁，迫使他们延长了合同。随着边境的重新开放，其中一些工人继续留在海外。据专员说，涉及工人的社会问题和行为问题有所增加，给瓦努阿图的家庭带来了痛苦。鉴于7月边境重新开放，劳动部呼吁所有因边境封锁而延长合同的工人返回瓦努阿图。因此，工人必须在合同结束时返回瓦努阿图，在瓦努阿图度过一阶段，然后再返回海外。她解释说：“如果一个被批准的雇主想要向同一名工人提供一份新合同，该工人需要得到他们亲属的认可，按照通常的程序，必须在瓦努阿图处理同意（流程），而不是在澳大利亚或新西兰。”该决定于2022年11月7日生效，并根据2007年《季节性就业法》第23(7)条作出。它授权专员发布咨询指南，以适当实施劳动力流动计划，使参与不同劳动力流动计划的各方互惠互利。,,487,文化,瓦努阿图 新西兰 澳大利亚,瓦努阿图 工人 合同 延长 季节性 ,劳动力流动计划（LabourMobility）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227640&idx=1&sn=ae6f8f155b59a8c2372a8aea72835c06&chksm=bef6dc4e898155580a4352c7ab302ec2e752c99e56551e46f3393829d659180a08382448da68#rd,1672998042
",2022.12.10
208,提供免费救助 中国医疗团队深入瓦努阿图当地社区,近日，由9名中国医生组成的医疗队前往瓦努阿图埃法特（Efate）近海岛屿恩古纳岛（Nguna Island）的一个社区，为当地人提供免费医疗服务。《瓦国日报》12月10日报道，这些中国医生提供了咨询服务，并提高公众关于如何保持健康生活方式的健康意识。他们还会包扎伤口。医生们发现，当地人患有高血压和哮喘等常见病。据报道，医疗小组成功挽救了一名可能截肢的小男孩。他的腿上有严重的感染。医生成功地治疗了感染，并向小男孩保证他会康复。医疗队还分发了药品和中药，并向当地人解释了如何使用。在访问过程中，他们还发现该社区没有注册护士。当地人对这个团队表示感谢，因为他们提供了免费的医疗服务。这是中国在瓦努阿图的医疗团队首次与当地社区接触，他们对此感到非常高兴。这支医疗团队将在瓦努阿图工作一年。他们期待着将来在其他社区开展其他医疗服务。据了解，今年是瓦努阿图和中国建交40周年，该服务再次显示了瓦努阿图和中国之间的伙伴关系。,,407,文化,中国 瓦努阿图,医疗 中国 瓦努阿图 社区 服务 ,联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227640&idx=4&sn=74174a29c40b1bb48e4f4b00104b5bd7&chksm=bef6dc4e89815558d314aea52f6f0d1c7d6ec6693e937a8feef5cc789dd90731873a188b1886#rd,1672998042
",2022.12.9
211,斐济日报第2029期 2022年12月10日出版,斐济日报电子报每周六同步更新至“南太之声”App，微信公众号在次周一发布。新货到！本公司从韩国直接进口各类产品：方便面（辛拉面、炸酱面、安城汤面等）、韩国辣酱、各类酱料、食用油、各种口味海苔、韩国饮料（大小包装均有）、速溶咖啡、听装咖啡、多种类韩国品牌面膜、菲诗小铺洗面奶等。本批次产品销售均为批发价，欢迎来电咨询。=======================================================2022年12月10日出版斐济日报电子报本篇文章版权归斐济日报所有，未经授权许可，其他媒体不得转载。如需转载或改编，请联系斐济日报新媒体事业部。邮箱：fijidaily@gmail.com,,307,文化,韩国,日报 韩国 2022年 12月 10日 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227640&idx=8&sn=513f6a0e30125e5d189dc61837a06799&chksm=bef6dc4e898155580ac2498ab8c0aaf95571e491a7c879915ec9db683558a88510b525d8c294#rd,1672998042
",2022.12.8
213,斐济日报第2029期 2022年12月10日出版,斐济日报电子报每周六同步更新至“南太之声”App，微信公众号在次周一发布。新货到！本公司从韩国直接进口各类产品：方便面（辛拉面、炸酱面、安城汤面等）、韩国辣酱、各类酱料、食用油、各种口味海苔、韩国饮料（大小包装均有）、速溶咖啡、听装咖啡、多种类韩国品牌面膜、菲诗小铺洗面奶等。本批次产品销售均为批发价，欢迎来电咨询。=======================================================2022年12月10日出版斐济日报电子报本篇文章版权归斐济日报所有，未经授权许可，其他媒体不得转载。如需转载或改编，请联系斐济日报新媒体事业部。邮箱：fijidaily@gmail.com,,307,文化,韩国,日报 韩国 2022年 12月 10日 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227563&idx=1&sn=e144cf309c6442285e55812d1149e5fa&chksm=bef6dc1d8981550b52f4011ffa0acb8bdd30d752241ff129c0c6ea89005f85353338a7cb8428#rd,1672640301
",2022.12.7
246,保护文化版权 瓦努阿图音乐家参与研讨会,瓦努阿图知名音乐家斯坦（Stanleyson Antas，更广为人知的名字是Stan）近日在澳大利亚悉尼的麦考瑞大学参加了一个关于探索文化财产方法的研讨会。研讨会的题目是“音乐与价值：生产、流通、交换和改编”。该研讨会由法国埃克斯马赛大学（Aix Marseille University）和麦考瑞大学联合组织。瓦努阿图《瓦国日报》11月19日报道，斯坦和在瓦努阿图知识产权局（VANIPO）工作的让·皮埃尔·萨姆（Jean Pierre Sam）一起参加了研讨会。研讨会的组织者是来自民族音乐学和人类学领域的研究人员。他们希望更多地了解瓦努阿图的版权问题，特别是音乐的知识产权，以及当代音乐和传统音乐之间的差异，并从版权的角度对其进行最好的保护。在研讨会上，斯坦主要讲述了他在当代音乐界的经历。他说，参加研讨会的一大好处是有机会听到不同文化对版权的不同看法。“这些不同的观点将帮助我们塑造我们的版权法及实施，以适应我们的文化背景。在瓦努阿图，随着我们的进步，这些讨论必须被听到，并将被持续听到。因为我们的文化是如此多样化，当涉及到音乐时，每个岛屿或文化都有自己不同的方式来看待音乐的所有权和价值。”他还表示，“瓦努阿图的音乐家总是在讨论音乐保护和版权问题。我在版权方面扮演的角色，就是作为一个活跃的行业成员，让音乐家参与和了解这些问题的讨论。VANIPO在其中扮演着最大的角色，我们作为利益相关者也是如此。”据悉，VANIPO目前正在努力建立一个集体管理协会。（萨琳编译）,,637,文化,澳大利亚 法国 瓦努阿图,研讨会 瓦努阿图 音乐 文化 版权 ,答麦考瑞大学 埃克斯马赛大学 VANIPO 联合国 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227383&idx=1&sn=1ef9d55f41abb22fa4f5f7dc8ced6da4&chksm=bef6dd4189815457b68b6ad6e0901ba3aae1cd9ff11fe7a68953581624211ea911d1d971a251#rd,1671267011
",2022.11.24
248,公务员须穿正装工作 瓦努阿图新规让西装领带卖断货,所有的公务员都应该穿着正装上班。这是瓦努阿图总理卡尔萨考（Ishmael Kalsakau）近日指示的一部分。这项指示也适用于所有从政人员。消息一出，该国一些商店里的西装、领带就销售一空。瓦努阿图《瓦国日报》11月19日报道，卡尔萨考在一份声明中强调：“我规定每个部长职位的所有任命人员和公务员都必须遵守严格的着装规范，包括在政府正式工作时间内穿西装打领带。通过这一说明，该规定将被视为我们的政府如何更好地服务于这个国家的新标杆。”据悉，任何进入行政事务办公室的人也都必须穿着正式。不遵守着装规范的人将被“赶出去”。维拉港城市内外的旧货店里，公务员的西装外套已经卖光了。许多二手商店的西装外套库存也已经告罄，还没有找到西装和领带的公务员们仍在继续求购。维拉港最大的西装外套商店JCK Clothing表示，最近他们的商店一直很忙，因为他们要为前来购买西装外套的公务员服务。该商店表示：“自从总理要求公务员们穿正装后，他们就来我们店里购买西装外套，我们大量的西装外套已经售罄。”JCK Clothing西装外套定价不错，男款要价2500瓦图（约合20.74美元），女款1500瓦图（约合12.45美元）。老板卡洛萨鲁（Nicole Karlosaruru）说，他们还有几袋衣服，这要看里面是否有西装可以进入他们的库存。像Stret Price和Nalau General Goods等其他商店也都缺货。维拉港出售岛式连衣裙和岛式衬衫的商贩邦塞布（Meriam Bongsebu）说，公务员正装的新变化也会影响当地的服装产品。她说：“对他们来说，最好是穿着得体，但现在他们可能会从其他国家买衣服，而不是在瓦努阿图，他们不再认为我们是他们的服装生产商。”据公务员委员会秘书梅尔特雷斯（James Melteres）说，全国有6000多名公务员，每个公务员都要购买自己的西装外套。,,786,文化,瓦努阿图,西装 公务员 外套 商店 正装 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227383&idx=3&sn=c71cb17d6f233050e12747e8bd540623&chksm=bef6dd41898154574dc0e9f594880ceb6800ff2d9dd298b411df43b8ada6dc9a78b23226fa29#rd,1671267011
",2022.11.24
266,澳大利亚这支由萨摩亚裔女孩组成的橄榄球队夺冠,近日，在澳大利亚举行的太平洋青少年橄榄球节（Pacific Youth Rugby Festival）上，一支萨摩亚裔的U16（年龄在16岁以下）女子橄榄球队获得冠军。萨摩亚观察者网站11月1日报道，在这个活动中，太平洋岛国族裔的孩子们聚在一起，参加在澳大利亚昆士兰举行的全国橄榄球锦标赛。获胜的女子队包括来自昆士兰各地15岁的萨摩亚裔女孩，她们是6周前才入选的，其中包括以前从未参加过这项运动的女孩。主教练卡洛洛（Kalolo）说，很荣幸看到女孩们穿着代表萨摩亚的球衣，发扬她们的传统。据了解，这支球队希望明年访问萨摩亚，与其他同年龄组的女子举行橄榄球队比赛，并发扬她们的传统和文化，与家庭成员联系，了解她们的家族村庄。（萨琳编译）,,317,文化,澳大利亚 萨摩亚,澳大利亚 女孩 橄榄球队 举行 萨摩亚 ,太平洋青少年橄榄球节,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227305&idx=3&sn=bba219d58325e41997b95fa5c0b86db5&chksm=bef6dd1f898154093bb415219e84510471f273392111429452cf9c7fb943a5eee29cdb457171#rd,1670825600
",2022.11.8
278,斐济日报第2024期 2022年11月05日出版,斐济日报电子报每周六同步更新至“南太之声”App，微信公众号在次周一发布。新货到！本公司从韩国直接进口各类产品：方便面（辛拉面、炸酱面、安城汤面等）、韩国辣酱、各类酱料、食用油、各种口味海苔、韩国饮料（大小包装均有）、速溶咖啡、听装咖啡、多种类韩国品牌面膜、菲诗小铺洗面奶等。本批次产品销售均为批发价，欢迎来电咨询。=======================================================2022年11月05日出版斐济日报电子报本篇文章版权归斐济日报所有，未经授权许可，其他媒体不得转载。如需转载或改编，请联系斐济日报新媒体事业部。邮箱：fijidaily@gmail.com,,307,文化,韩国,日报 韩国 2022年 11月 05日 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227298&idx=7&sn=f4bd82e211b7f9550336490c7fa99827&chksm=bef6dd148981540260e415f20f74c341137d07ff8dd8708aa24d67f91cd58712b70d945b589b#rd,1670736978
",2022.10.30
281,仅包括9种语言 新西兰太平洋语言策略缺少多样性,瓦努阿图《瓦国日报》10月28日援引新西兰RNZ报道，讲述了一位美拉尼西亚活动家批评新西兰的太平洋语言策略。文章摘编如下：一位在新西兰的瓦努阿图美拉尼西亚裔活动家表示，该国的太平洋事务部在其语言策略中忽视了美拉尼西亚社区。伊斯诺（Leina Isno）在一篇评论文章中说，从征求意见到发布，这个为期10年的太平洋语言战略（Pacific Languages Strategy）是一个“重大的文化错误”。新西兰政府于9月启动的太平洋语言战略，除斐济外，缺乏其他美拉尼西亚群体的加入。伊斯诺说，她理解汤加和萨摩亚等较大的太平洋地区的语言团体是新西兰语言复兴的先驱，但太平洋事务部需要涵盖所有太平洋地区的语言团体。“我觉得，尽管这个战略很全面，制定得也很好，但我觉得它缺乏多样性。当你谈论太平洋时，你谈论的是次区域含义的真正、真实的表现，所以在一个文件中，你需要包括其他次区域，这样才是文件的真实表现。”该战略确定了9种太平洋语言（包括罗图曼语、萨摩亚语、基里巴斯语、库克群岛毛利语、汤加语、图瓦卢语、斐济语、纽安语和托克劳语），有三个主要目标，其中之一是承认整个新西兰的太平洋语言的价值。然而，西巴布亚岛的活动家兼学生伊基尼亚（Laurens Ikinia）表示，这一策略似乎只重视太平洋使用最多的语言。“其中一个论点是，它关注的是目前居住在新西兰的说这些语言的人数，但作为一个太平洋岛民，你不能忽视其他语言。”然而，新西兰太平洋事务部长西奥（Aupito William Sio）表示，部门已经向美拉尼西亚社区提供了超过26万新西兰元，以支持他们的语言计划。他补充说，这是政府第一次发布这样的战略，所有太平洋社区都应该参考它，以确定在与该部门接触之前需要采取什么行动。“站在帐篷外面扔石头是没有用的。你必须参与进来，现在有了太平洋语言战略，你就有了机会，制定你的行动，与太平洋事务部合作，这样该部门就可以继续资助他们认为对他们的社区很重要的倡议。”伊斯诺说，了解社区的需求是该部门的责任。“部长曾提到，社区需要更好地组织起来。我们正在这样做，但该部门一直没有认识到小型社区的需要，通过提供需要重点关注的人员来更好地与他们合作，这样我们就可以改善我们的关系。”（萨琳编译）,,934,文化,新西兰 瓦努阿图 美拉尼西亚 汤加 萨摩亚 基里巴斯 库克群岛 图瓦卢  纽安 托克劳,太平洋 语言 新西兰 社区 战略 ,新西兰太平洋事务部 太平洋语言战略（PacificLanguagesStrategy）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227296&idx=1&sn=2aea218494f94317b506892651290100&chksm=bef6dd16898154009c67d44981f45f929a68c09dcc03557f9175237004a781f2449b54309472#rd,1670578045
",2022.10.27
289,斐济日报第2023期 2022年10月29日出版,斐济日报电子报每周六同步更新至“南太之声”App，微信公众号在次周一发布。新货到！本公司从韩国直接进口各类产品：方便面（辛拉面、炸酱面、安城汤面等）、韩国辣酱、各类酱料、食用油、各种口味海苔、韩国饮料（大小包装均有）、速溶咖啡、听装咖啡、多种类韩国品牌面膜、菲诗小铺洗面奶等。本批次产品销售均为批发价，欢迎来电咨询。=======================================================2022年10月29日出版斐济日报电子报本篇文章版权归斐济日报所有，未经授权许可，其他媒体不得转载。如需转载或改编，请联系斐济日报新媒体事业部。邮箱：fijidaily@gmail.com,,307,文化,韩国,日报 韩国 2022年 10月 29日 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227227&idx=1&sn=4571375697f7cb98c9d59ac91861aef4&chksm=bef922ed898eabfb82db5a2a77d94cf838cce54d36d92a989e9b8d4efdad00ae779d2aaac9ab#rd,1670146821
",2022.10.25
290,斐济日报第2023期 2022年10月29日出版,斐济日报电子报每周六同步更新至“南太之声”App，微信公众号在次周一发布。新货到！本公司从韩国直接进口各类产品：方便面（辛拉面、炸酱面、安城汤面等）、韩国辣酱、各类酱料、食用油、各种口味海苔、韩国饮料（大小包装均有）、速溶咖啡、听装咖啡、多种类韩国品牌面膜、菲诗小铺洗面奶等。本批次产品销售均为批发价，欢迎来电咨询。=======================================================2022年10月29日出版斐济日报电子报本篇文章版权归斐济日报所有，未经授权许可，其他媒体不得转载。如需转载或改编，请联系斐济日报新媒体事业部。邮箱：fijidaily@gmail.com,,307,文化,韩国,日报 韩国 2022年 10月 29日 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227226&idx=1&sn=c3927d2d8c74d7541dce64da38c805ec&chksm=bef922ec898eabfabd7ad6a0d59b5251272581bb8b7e11f62af4e2e9c864dafa52d3a23184ce#rd,1670062164
",2022.10.23
