,Title,Context,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,Release Date,Unnamed: 0,URL
56,为保证太平洋运动会的安全，所国要开始抓扒手了……,【南太之声编译报道】所罗门群岛霍尼亚拉市街头反社会行为近日日益增多，为迎接11月和12月举行的太平洋运动会，警方正着手解决这一问题。《所罗门星报》报道，警察专员曼高（Mostyn Mangau）3月23日在他的每周会议上被问及霍尼亚拉手机盗窃案件增加的问题时做出了上述回答。曼高说:“随着街头反社会行为的不断发生，我们正在与其他执法机构制定一项计划，试图遏制霍尼亚拉街头的犯罪率，为太平洋运动会做准备，因此，我们正在考虑处理霍尼亚拉街头的反社会行为问题。”他表示，这不是什么新鲜事，他们实际上已经处理过一些街头扒窃和偷窃手机的问题。“我们设法找回了一些手机，并把它们还给了主人。”他说，一些手机尚未被找回，因为它们要么关机了，要么被锁定。“在某些情况下，我们必须接受法院的命令，并与我们的电信公司联系，锁定被盗手机，使其不能在国内使用。”曼高强调，那些参与这种行为的人必须知道他们无法隐藏，因为有一些程序可以追踪被盗的手机。他还提醒任何购买手机的人都要保管好包装盒。“这个盒子里有重要的信息，如序列号和IMEI号码，服务提供商需要这些信息才能追踪到手机。（周晓编译）,483,旅游,所罗门群岛,手机 街头 行为 问题 一些 ,所罗门群岛警察局,2023.3.29,79,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228510&idx=4&sn=5d9a8b97072e8a145cedf35c82438e69&chksm=bef6d9e8898150fe50f10f19ed4f5b89d6756c08b34dc1f35c2e0b9fd29c3523465ca26c73ba#rd
61,瓦国首都这一市场恢复试运营！市场负责人吁商家合理定价,【南太之声编译报道】瓦努阿图维拉港市议会（PVCC）近日提醒该市所有市场供应商，确保他们的商品和农产品定价合理。《瓦国日报》18日报道，这一指示是由维拉港市场负责人瓦特（Sacha Watt）发出的，他说，这是近期海滨市场重新开放时强调的关键信息之一。近期维拉港主要市场恢复服务时，瓦特也向市场供应商重申了同样的信息。他解释说，市场管理层已将摊位费由400瓦图（约合3.42美元）降低至300瓦图（约合2.57美元），这项措施将于本月底生效。他还补充说，如果发现市场供应商对其商品收费过高，将责令其降低价格，并敦促供应商尊重这一决定。目前，市场管理部门正在与Silaevanua市场协会和卢甘维尔的一个市场协会合作，向主要市场供应蔬菜和海岛白菜。另一方面，市场供应商也被提醒，根据气候变化部长发布的命令，市场上禁止出售果蝠和其他鸟类。市场的运营时间为当地时间早上6时到下午5时，让市场供应商有足够的时间准备。瓦特进一步提醒供应商们在去市场之前，在家准备好他们的商品，以避免人群等待。一旦市场恢复满员，市场开放时间将恢复正常。此外，瓦特也向所有人发出邀请，当地餐馆已经开始营业，欢迎大家前来品尝当地厨师烹制的美味佳肴。（周晓编译）,514,旅游,瓦努阿图 瓦国,市场 供应商 恢复 瓦特 时间 ,PVCC（瓦努阿图维拉港市议会） Silaevanua市场协会 卢甘维尔的一个市场协会 气候变化部长,2023.3.26,86,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228439&idx=4&sn=ac11663e64b219161e7fcb7e328ecc9c&chksm=bef6d9a1898150b7305bcf27ccce514fa37f776f409968863584f48c25229e3117da420fda50#rd
65,萨摩亚总理到访澳洲签协议 岛国最关心的问题能解决吗？,图为萨摩亚总理马塔阿法。（图/太平洋岛屿新闻协会网站截图）【南太之声编译报道】随着澳大利亚总理阿尔巴尼斯（Anthony Albanese）22日在堪培拉欢迎萨摩亚总理马塔阿法（FiamēNaomi Mata'afa）到访，澳大利亚和萨摩亚签署了一项关于教育和卫生的新协议。澳联社22日报道，马塔阿法在议会大厦受到隆重欢迎，并签署双边协议。她已将气候变化行动和更多区域磋商的必要性提上议程。马塔阿法一直在推动结束化石燃料补贴，并为太平洋地区的气候复原性项目提供更多资金。她还提出了在澳大利亚、新西兰和太平洋岛国之间进行欧洲式自由流动的想法。“人们很难到澳大利亚或新西兰探亲或度假。”在22日与阿尔巴尼斯会谈之前，她在澳大利亚洛伊国际政策研究所（Lowy Institute）的一个活动上表示：“欧洲式共同市场的概念，我们在太平洋地区已经讨论了很长时间。”另外，阿尔巴尼斯表示，他的政府在气候方面的行动有助于加强与该地区的关系。他对议会表示：“与太平洋地区建立良好关系的入场券是在气候变化方面采取行动。这是他们最重视的问题，因为这对他们的生存构成了威胁。”澳大利亚反对党外事发言人伯明翰（Simon Birmingham）也表示，马塔阿法的访问和呼吁在气候变化问题上采取更多行动的演讲，表明了全球合作解决这一问题的必要性。他说:“在全球范围内，各国共同努力可以改变对气候变化的预测，太平洋岛国领导人的声音也许是最有力的声音。”（周晓编译）,618,旅游,澳大利亚 新西兰 萨摩亚,太平洋 澳大利亚 气候 马塔阿法 萨摩亚 ,联合国 亚太计划 欧洲式共同市场,2023.3.25,90,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228412&idx=2&sn=43d3faf56f98e4d08bedce9561353c71&chksm=bef6d94a8981505cbea8f856caeb7a1067e93c4e28f12884ea0d42bc09016640713d8e3cda3d#rd
88,首航抵达！澳大利亚与帕劳每周航班开始执飞 还将通过这些岛国,新西兰RNZ报道，帕劳总统惠普斯（Surangel Whipps Jr）表示，从2月28日开始，将有航班通过巴布亚新几内亚连接澳大利亚布里斯班和帕劳。惠普斯说，这项服务是新启用的，由澳大利亚政府承担飞行计划。巴新几内亚航空（Air Niugini）将执飞这条航线，该航线在疫情前没有运营。巴布亚新几内亚航空首席执行官阿拉巴斯特（Bruce Alabaster）说:“每周航班将由公司的波音767飞机执飞，每周二从布里斯班经莫尔兹比港飞往帕劳，周三返航。”惠普斯说，飞往基里巴斯、马绍尔群岛和瑙鲁等的航班也是该项目的一部分，目的是为了增强航空旅行，更好地连接太平洋地区。阿拉巴斯特说，帕劳依赖旅游市场，直接进入澳大利亚市场将大大促进当地经济的发展。真正吸引游客的因素是潜水和帕劳独有的户外活动。惠普斯鼓励新西兰和澳大利亚游客抓住这个机会。“来探索吧，我们的潜水令人惊叹。”他已邀请新西兰前总理阿德恩（Jacinda Ardern）及其伴侣盖福德（Clarke Gayford）前来游玩。,442,旅游,新西兰 澳大利亚 巴布亚新几内亚 基里巴斯 马绍尔群岛 瑙鲁,澳大利亚 帕劳 航班 惠普斯 执飞 ,太平洋地区计划,2023.3.6,125,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228219&idx=5&sn=5ef301f17351d9c641370d8b095f2e9a&chksm=bef6de8d8981579b7cf0e6fd4bdf52c2fa5cd7169f4e911d96118e57881d87e62dbe333d4ce7#rd
89,马云现身斐济引发网络热潮！旅游局CEO亲自发声：热烈欢迎！期待中国游客回归,近日，马云来到斐济的行程被多位本地网民拍到，并纷纷po到社交媒体上。马云到达斐济的画面被网民发布在社交媒体平台上。（图/脸书截图）马云的到来，不仅仅是一位富豪的度假之旅，在斐济人看来，这更代表着中国游客重回斐济的重大标志。对此，斐济旅游局CEO希尔（Brent Hill）就立即发“推特”（Twitter）表示：“欢迎马云先生——阿里巴巴的老板和世界上最富有的人之一。很高兴看到中国游客再次回到斐济，也很高兴有像马先生这样的商界领导者和慈善家到来。祝旅途愉快！”斐济旅游局CEO希尔（Brent Hill）发“推特”欢迎马云。（图/推特截图）与此同时，巴布亚新几内亚《企业家杂志（Exepreneur Magazine）》也发文称，马云的斐济之旅凸显了旅游业在促进国家经济发展方面的力量。该杂志表示，斐济作为旅游胜地，吸引了无数世界名人打卡。包括2019年在斐济庆祝65岁生日的奥普拉（Oprah Winfrey），以及2018年访问斐济的哈里王子（Prince Harry）和梅根（Meghan Markle）。加拿大总理特鲁多（Justin Trudeau）和好莱坞明星威尔·史密斯（Will Smith）也在斐济度过了一段美妙时间，享受着斐济令人惊叹的风景和温暖的气候。而现如今，马云，也只是众多被斐济的美丽和好客所吸引的杰出专业人士、投资者和名人之一。马云和其他知名人士对斐济的访问，凸显了斐济作为首要旅游目的地的潜力，并强调了旅游业在推动经济增长中的作用。斐济拥有迷人的海滩、多元的文化和热情好客的人民，在未来的几年里，斐济一定会吸引更多的游客。,678,旅游,中国 加拿大 ,马云 游客 旅游局 欢迎 中国 ,联合国 亚太经合组织 世界旅游组织 世界银行 国际货币基金组织 世界贸易组织 联合国开发计划署 联合国教科文组织 联合国粮食及农业组织 联合国环境规划署 联合国儿童基金会 联合国难民署 联合国人口基金会 联合国经济及社会理事会 联合国人权理事会 联合国教育 科学及文化组织 联合国犯罪及司法组织 联合国粮农组织 联合国经济及社会理事会 联合国人权理事会 联合国经济及社会理事会 联合国人权理事会 联合国经济及社会理事会 联合国人权理事会 联合国经济及社会理事会 联合国人权理事会 联合国经济及社会理事会 联合国人权理事会 联合国经济及社会理事会 联合国人权理事会 联合国经济及社会理事会 联合国人权理事会 联合国经济及社会理事会 联合国人权理事会 联合国经济及社会理事会 联合国人权理事会 联合国经济及社会理事会 联合国人权理事会 联合国经济及社会理事会 联合国人权理事会 联合国经济及社会理事会 联合国人权理事会 联合国经济及社会理事会 联合国人权理事会 联合国经济及社会理事会 联合国人权理事会 联合国经济及社会理事会 联合国人权理事会 联合国经济及社会理事会 联,2023.3.5,126,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228192&idx=1&sn=c8b20e5e4b51e4c1c34f2ce8f3d6e17b&chksm=bef6de968981578001b9108ab6d670a8c12da7e77d747f41464961d53894bd0c91d99d631073#rd
90,已掌握绑匪身份！巴新总理吁释放四名人质,【南太之声编译报道】在一名当地妇女和三名当地导游获救后，巴布亚新几内亚总理马拉佩（James Marape）近日敦促武装绑架者释放其余四名人质，其中包括一名澳大利亚教授。巴新《国民报》2月23日报道，马拉佩说：“他们是我们国家的公民，也有我们国家的朋友。让我们用美拉尼西亚人的方式解决这个问题吧。”他补充说，警方已经掌握了参与绑架的13人的全名和照片。“（你们）的身份已被确认，所以（尽快）释放剩下的四名人质。”据报道，这些武装分子来自海拉省，他们于2月19日在南部高地和海拉省边境博萨维山（Mt Bosavi）附近的Fogomaiyu村绑架了7名研究人员和导游，并要求现金赎金。这7人包括国家博物馆的一名女性工作人员，一名女性领袖网络成员，一名与教授一起进行实地工作的巴新大学人类学毕业生，还有四名当地导游。马拉佩呼吁身份已被官方确认的绑匪释放其余四名人质。巴新警察局长曼宁（David Manning）表示，犯罪分子是偶然遇到了这7个人。他说:“他们是机会主义者，在采取行动之前显然没有考虑到这种情况，他们一直在要求支付现金。但是，我们为绑架者提供了一条出路。他们可以释放人质，他们将通过刑事司法系统得到公平对待，但不遵守和拒捕可能会让这些罪犯失去生命。”反对派副领袖汤姆里萨（Douglas Tomuriesa）说，军阀和武装匪徒对国家安全构成威胁，必须予以消灭。他补充说，政府应该考虑邀请澳大利亚和新西兰的特种部队，比如他们的SAS（空降特勤队），他们拥有优越的武器和战术，帮助巴新对付这些“危险的罪犯，一劳永逸地消灭这些所谓的军阀”。,672,旅游,巴布亚新几内亚 澳大利亚 新西兰,巴新 释放 人质 国家 这些 ,联合国 亚太计划 SAS（空降特勤队）,2023.3.5,127,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228186&idx=1&sn=698483bb89a15b2c4f15401f32b75e91&chksm=bef6deac898157baef4ec2aa37ac0b9c9179a0a43a05a0719b4709514cef848854713a389f8a#rd
94,瓦努阿图和新喀里多尼亚有望达成免签协议,图为瓦努阿图和新喀里多尼亚近日有望很快达成免签协议。（图/《瓦国日报》网站截图）【南太之声编译报道】瓦努阿图和新喀里多尼亚近日有望很快达成免签协议。《瓦国日报》2月25日报道，这一消息是在瓦努阿图总理卡尔萨考（Ishmael Kalsakau）和外交和对外贸易部官员与新喀里多尼亚政府总统马普（Louis Mapou）率领的新喀里多尼亚代表团举行会议后传出的。这两个太平洋岛国之间的讨论集中了一些问题，包括免签证进入新喀里多尼亚。瓦努阿图政府公共关系官员哈里（Joe Harry）说，法国驻瓦努阿图大使在拜会卡尔萨考时首次提到法国打算给予从瓦努阿图到新喀里多尼亚的免签协议。哈里也是卡尔萨考访问斐济代表团的成员，他补充说，卡尔萨考在讨论中提出了这个问题。法国内政部长预计将在3月访问瓦努阿图期间正式宣布（瓦努阿图）与新喀里多尼亚的免签协议。瓦努阿图和新喀里多尼亚有着密切的经济和文化联系，许多瓦努阿图公民前往新喀里多尼亚工作或出于其他目的。这项免签证协议将使两国之间的旅行更加便利，促进商业、旅游和文化交流。,454,旅游,瓦努阿图 新喀里多尼亚 法国 ,瓦努阿图 新喀里多尼亚 协议 免签 卡尔萨考 ,,2023.3.1,131,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228186&idx=5&sn=0f1b124c3e7de8c66d36d6c63e3ede8d&chksm=bef6deac898157baf5ba9470cf95c8fcd5d119c1414bd20aac3582810f50bcfaff9f18c8a7d8#rd
95,瓦国总理：与澳大利亚的免签协议将很快生效,【南太之声编译报道】瓦努阿图总理卡尔萨考（Ishmael Kalsakau）近日在与澳大利亚总理阿尔巴尼斯（Anthony Albanese）会晤后表示，该国前往澳大利亚的免签旅行将很快达成。两位领导人讨论了加强两国关系的途径。《瓦国日报》21日报道，卡尔萨考强调，在取消签证要求之前，瓦努阿图必须向澳大利亚表明他们之间的关系是真诚且认真的。他向民众保证，我们将逐步实现这一目标。鉴于两国距离很近且有着长期的伙伴关系，许多瓦努阿图原住民（Ni-Vanuatu citizens）对前往澳大利亚时免签证表示关心。他们指出，瓦努阿图与许多其他国家之间均有免签证协议。在一项重大公告中，卡尔萨考透露，签证处理将不再需要在斐济完成，现在可以在瓦努阿图国内完成。这将使寻求访问澳大利亚的瓦努阿图公民更加方便。,349,旅游,瓦努阿图 澳大利亚 ,澳大利亚 瓦努阿图 签证 总理 卡尔萨考 ,联合国,2023.2.28,133,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228152&idx=1&sn=bc8fe130353e994b9d85a931af8fd7a3&chksm=bef6de4e89815758ddb630c74cd5384f1e3712776e8e2b747ac424ee0979f77d22424a7f3ef7#rd
96,保护和管理海洋资源 瓦国启动“蓝色繁荣计划”,【南太之声编译报道】瓦努阿图政府近日已启动了瓦努阿图“蓝色繁荣计划（Blue Prosperity Vanuatu）”，旨在保护和管理海洋资源，促进海洋产业和经济可持续发展。《瓦国日报》21日报道，在瓦努阿图政府的领导下，该计划将开展广泛的参与进程，指定至少30%的瓦国水域进行保护，以保护和恢复海洋生物、栖息地，并支持旅游和渔业等海洋产业。在联合国生物多样性大会上，瓦努阿图与其他190个国家一道做出了保护30%海洋的全球承诺。“蓝色繁荣计划”代表了瓦努阿图政府和维特研究所（Waitt Institute）之间的伙伴关系。维特研究所是一家总部位于美国的非营利机构，将通过技术专长、资金和增加能力来支持瓦努阿图的目标和国际承诺。瓦国总理卡尔萨考（Ishmael Kalsakau）和维特研究所创始人兼主席维特（Ted Waitt）签署了一份谅解备忘录，正式确立了这一伙伴关系。该计划的核心重点之一是蓝色经济规划，以促进经济增长和多样化，社会包容以及保护或改善生计，同时确保海洋和沿海地区的环境可持续性。“蓝色繁荣计划”的另一个重点是为小规模和商业渔业制定可持续渔业管理战略。它还包括科学考察，收集、整理和分享有关瓦努阿图海洋环境的现有知识和信息。,524,旅游,瓦努阿图 美国,海洋 瓦努阿图 保护 计划 蓝色 ,联合国生物多样性大会瓦努阿图“蓝色繁荣计划（BlueProsperityVanuatu）”维特研究所（WaittInstitute）,2023.2.28,134,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228152&idx=2&sn=eb4a39403bae803e1fce4798026f34b9&chksm=bef6de4e898157580ec5091755a6023c1b8ce3c6a6902687d4fc603e12afefbb02187e2d1391#rd
102,了解游客的体验感很重要！瓦国启动邮轮游客调查,【南太之声编译报道】瓦努阿图邮轮游客消费者调查已于2月3日启动。《瓦国日报》报道，瓦努阿图旅游局(VTO)16日证实了这一点，称这项研究是在与旅游部(DoT)、统计局(VBoS)、储备银行(RBV)和技能合作组织(VSP)的密切合作下进行的。基于2023年2月的邮轮时间表，根据邮轮访问的频率和抵达港口的邮轮游客的高流量，调查在首都维拉港拉开序幕。调查的目标群体是“自由独立旅行者”，他们是邮轮游客，在抵达维拉港前和/或抵达后自己预订行程、活动和安排。为了对这一目标群体进行研究，邮轮游客在参观位于码头和维拉港市中心的旅游局旅游和信息中心时，会得到二维码。邮轮游客消费者调查的目的是收集反馈，并评估消费者对维拉港旅游产品和服务的整体体验。这包括对旅游、交通、参观地点、工匠和手工艺产品、当地制造的商品、饮食场所、维拉港的好客程度、游客满意度的反馈，最重要的是了解自由独立旅行者们的消费行为。旅游局商业情报经理伽曼（Warren Gama）表示:“通过有价值的消费者调查，始终评估我们的营销活动和旅游产品的有效性是很重要的。然而，我们已经知道还有很多需要改进的地方，为了准备和提供可负担得起的优质游客体验，这种消费者调查为我们提供了最新的见解和数据，以供决策。”这项调查通过旅游局商业情报计划进行协调，数据分析和报告将每6个月发布一次，并与旅游业、合作伙伴和政府利益相关者共享。伽曼指出，“每当国际和国内游客使用瓦努阿图的服务时，瓦国旅游业都在进行自我重建，为了进一步改善，我们使用数据来指导我们的投资以促进改善。我们正在一起为所有游客重新设置和重建一个充满新奇的旅游目的地。”,688,旅游,瓦努阿图 瓦国,游客 邮轮 调查 消费者 维拉港 ,瓦努阿图旅游局(VTO) 旅游部(DoT) 统计局(VBoS) 储备银行(RBV) 技能合作组织(VSP),2023.2.23,142,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228151&idx=5&sn=a70316af9c8b34f29a8fab39755ba3d2&chksm=bef6de4189815757600e00d83927cc563bb33207a0993ecec91453b1e7b40fa37256150c08ad#rd
104,首都巴士短缺引发不便 瓦国官方解释原因,【南太之声编译报道】瓦努阿图首都公共交通服务的短缺近日给居民和游客带来了不便。《瓦国日报》18日报道，瓦国公共陆路交通管理局（PLTA）首席执行官塔比吉安（Reginald Tabigerian）将这种短缺归咎于多种因素，包括进口巴士数量下降、管理不善以及司机前往澳大利亚和新西兰参加季节性劳工计划。公共交通服务的短缺给学校、私营部门和政府办公室都带来了问题，学生上学迟到，员工上班也迟到。依赖公共交通的普通民众也经历了漫长的等待时间，一些人不得不等待一个小时或更长时间才能赶上巴士。与2022年2月的等待时间相比，这一数字显著增加。塔比吉安表示，与前一年相比，注册巴士和司机的数量都有所减少。2022年，共有1063家巴士服务公司和1115名注册司机，而在2021年，共有1199家巴士服务公司和1122名注册司机。他预测，到2023年3月底，注册巴士服务的数量将继续减少，他的办公室可能无法实现维拉港1200辆巴士服务的目标。,415,旅游,瓦努阿图 澳大利亚 新西兰,巴士 服务 短缺 公共 交通 ,澳大利亚和新西兰季节性劳工计划,2023.2.22,144,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228151&idx=7&sn=15d3f7566054f20df49cfe2103657f1e&chksm=bef6de4189815757a4de2d1afa268c29e287d6ee2efed73b48cfa7ae887a8d9972f93faf2a07#rd
109,澳提交新移民法案 太平洋移民申请增加至每年3000人,太平洋地区每年有多达3000人作为永久居民移民到澳大利亚。（图/斐济村网站截图）澳洲广播公司（ABC)16日报道，太平洋合作签证（Pacific Engagement Visa）的申请程序分为两步，申请人必须首先在投票中登记，并支付25元（斐济元，下同）的费用。政府在一份声明中表示:“在第二阶段，通过投票选出的申请人将能够申请签证。”申请人需要获得澳大利亚雇主的正式工作邀请，年龄在18至45岁之间，并满足基本的英语语言、健康和性格要求。声明还指出，“申请人可以在申请中包括他们的伴侣和受抚养的子女。”政府的目标是在7月前启动并运行新的签证。“太平洋合作签证将向独立的太平洋岛国和东帝汶开放。这可能包括（来自）密克罗尼西亚联邦、斐济、基里巴斯、瑙鲁、帕劳、巴布亚新几内亚、马绍尔群岛共和国、萨摩亚、所罗门群岛、东帝汶、汤加、图瓦卢和瓦努阿图（的民众）。”澳大利亚国际发展和太平洋事务部长康罗伊（Pat Conroy）说，该签证是为了开辟一条永久移民途径，而不是增加临时劳工的数量。他说:“每年向太平洋家庭分配3000个名额，让他们在澳大利亚过上新的生活，加深彼此之间的联系。”他强调，“这些人必须在这个国家有工作，他们可以带家人来。这是深化我们与该地区牢固关系的好方法。”据报道，新签证计划的法案已于16日提交给议会。（周晓编译）,566,旅游,密克罗尼西亚联邦  基里巴斯 瑙鲁 帕劳 巴布亚新几内亚 马绍尔群岛共和国 萨摩亚 所罗门群岛 东帝汶 汤加 图瓦卢 瓦努阿图,太平洋 签证 移民 申请 澳大利亚 ,太平洋合作签证（PacificEngagementVisa）,2023.2.18,154,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228082&idx=3&sn=187fed6a8f1e977800c6602c12508a0d&chksm=bef6de0489815712b2f5dc2f6e975181e53d2a20d556e60638e017a1cc3848cd59ba671787db#rd
113,欧盟允许瓦努阿图免签证协议再延期18个月,【南太之声编译报道】欧盟近日已经同意再延长18个月，以使瓦努阿图政府有时间完成其公民身份计划的改革。《瓦国日报》2月1日报道，此前，总理卡尔萨考（Ishmael Kalsakau）曾致信欧盟要求延长6个月。而此次18个月的延期将于2024年8月3日结束。欧盟将继续通过线上会议与常设委员会密切合作，以便他们获得关于实地进展的第一手资料。根据公共关系官员亨利（Joe Harry）的说法，技术委员会将与瓦努阿图驻布鲁塞尔大使玛尼里（George Maniuri）举行线上会议，为该团队于2023年2月15日与欧盟的进一步会晤做准备。2022年初，欧盟委员会提议部分暂停适用与瓦努阿图的协议，即允许瓦国公民在任何180天内免签前往欧盟，停留时间不超过90天。2022年3月晚些时候，欧盟理事会部分暂停了与瓦努阿图的免签协议，并在一份声明中解释说，他们宣布的决定是由于瓦努阿图的投资者公民计划会带来风险。暂停签证只涉及自2015年5月25日瓦努阿图投资公民计划生效以来持有普通护照的瓦努阿图公民。此前，欧盟理事会最初宣布，全面暂停将于2023年2月14日生效。（周晓编译）,483,旅游,瓦努阿图 欧盟 布鲁塞尔,欧盟 瓦努阿图 公民 暂停 协议 ,欧盟 瓦努阿图公民计划,2023.2.15,161,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228006&idx=1&sn=400798126d439f0817756022cb578d8e&chksm=bef6dfd0898156c6eefe855e8c3e15bfcbbc20bb31056dee701935d45b1e56b8a3d64d06b752#rd
127,为迎接太平洋运动会 所国大法官提议升级道路,【南太之声编译报道】所罗门群岛首席大法官帕尔默（Albert Palmer）1月24日敦促基础设施和发展部（MID）优先考虑道路维修和保养，为11月在霍尼亚拉举行的太平洋运动会做准备。《所罗门星报》报道，他还敦促为行人修建人行道，并建议建设更多路灯。不仅照亮主干道，还照亮所有进入城市的支线道路。帕尔默当日在2023法律年度的开幕式上说:“这将有助于建设一个更安全的城市，尤其是在夜间。”他补充说：“要使我们的城市更美丽、更安全、更有吸引力，还有很多事情要做，其中之一就是急需维修和保养的道路。”除了这些问题，他还建议考虑在热点地区、道路、交通网络和当地社区提高警力部署，以减少、预防、打击和应对犯罪活动。此外，总检察长穆里亚（John Muria）表示，为了使运动会顺利举办，可能需要对一些立法进行审查/修订。司法部门和所罗门群岛律师协会可能被要求就这些审查提出意见。“我敦促我们每一个人都参加这些审查，并协助政府，因为我们准备向该地区和世界展示我们举办运动会的能力。”（周晓编译）,442,旅游,所罗门群岛,道路 运动会 所罗门 敦促 城市 ,太平洋运动会,2023.2.4,179,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227931&idx=5&sn=d75064537f8d4b6e496577386cfd74e8&chksm=bef6dfad898156bb4b6c4f227d654306ade8c2d1ec99d90198699d88e5e0675d0224f2eb84be#rd
130,太平洋岛屿小姐选美大赛萨摩亚启幕 是你心中最美的她吗？,【南太之声编译报道】太平洋岛屿小姐大赛于1月29日至2月4日举行。五位太平洋美女前往萨摩亚参加选美比赛，瑙鲁小姐是第一个抵达的选手。萨摩亚观察者网报道，当地时间1月26日晚上，瑙鲁小姐皮彻（Alexandra Melody Pitcher）落地法莱奥洛国际机场（Faleolo International airport）。27日，所罗门群岛小姐哈罗（Tiare Haro）及其陪同人员第二个抵达。萨摩亚小姐富茂诺（Kauhani Fuimaono）和巴布亚新几内亚小姐尼古拉斯（Josie Nicholas）是最后随代表团抵达的选手。每个国家的选美董事会和成员也将前往萨摩亚参加选美比赛，并在29日陆续抵达。（周晓编译）,311,旅游,瑙鲁 所罗门群岛 萨摩亚 巴布亚新几内亚,小姐 萨摩亚 选美 抵达 太平洋 ,太平洋岛屿小姐选美大赛,2023.2.3,182,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227904&idx=3&sn=1dd33158dd0de8f4f7c8e3085d958711&chksm=bef6dfb6898156a0281fe75520d44ecb53569146b8fd637affacb6da55f17294312a58edbfc1#rd
135,Lulutai航空SAAB340停航 汤加瓦瓦乌旅游再入困境,【南太之声编译报道】汤加最重要的旅游目的地瓦瓦乌（Vava'u）的旅游经营者近日表示，瓦瓦乌再次因缺乏航空服务而陷入瘫痪。汤加Matangi新闻网21日报道，汤加政府拥有的Lulutai航空公司从2023年1月17日起暂停了其运输主力SAAB340航班的服务，没有迹象表明何时会有替代航班为瓦瓦乌和哈拜群岛提供服务。瓦瓦乌旅游协会代理主席科斯蒂·鲍（Kirsty Bowe）17日表示：“这家管理不善、不专业的航空公司正在削弱瓦瓦乌。”Lulutai航空公司还有一架12座的运-12飞机仍在继续运营，但该航空公司在1月19日的广播消息中表示，“虽然我们的另一架飞机，即运-12飞机仍在运营，但我们希望您能理解和合作，因为我们将优先考虑因医疗原因而旅行的乘客。”“我们要求所有预定乘坐SABB340航班的瓦瓦乌和哈拜群岛乘客联系最近的Lulutai办公室，安排退票或改日出行。”据悉，这架运-12是中国送给汤加的礼物。（力声编译）,414,旅游,汤加 中国,航空 瓦瓦乌 汤加 Lulutai 旅游 ,联合国,2023.1.29,188,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227866&idx=3&sn=22945ad086c8a8aa729f709a7a6c0a40&chksm=bef6df6c8981567a0b154dadf80192b8a9c6d5838533c3ce44888a669915c35a8070e489f52d#rd
136,取消所有短途公交、票价改动 所首都对运输业“下手”,【南太之声编译报道】所罗门群岛霍尼亚拉市自治会（HCC）从23日开始，取缔所有短途公交线路。《所罗门星报》报道，市长西阿普（Eddie Siapu）透露，在居民和乘客表达了对公交线路短、公交服务不规律、票价不规范和公交条件差的担忧之后，HCC制定了相关措施。他说，从23日开始，HCC将与所罗门群岛皇家警察部队的交通部门合作，对霍尼亚拉的所有公交线路进行监控。HCC将吊销短途公交的营业执照。HCC现在呼吁市民举报任何申请短途路线的公交，并正在向基础设施发展部的道路运输管理局提交申请，要求其审查和规范全市的公交票价、路线和公交条件。西阿普说，HCC将要求道路运输管理局规范全市的公交票价，成人为5元（所罗门群岛元，下同，约合0.61美元），学生和儿童为3元（约合0.36美元）。从长远来看，HCC已经完成了对全市公交服务的调查。HCC现正成立一个委员会，就全市的公交服务进行进一步研究，并研究在市内主要路线上运营公交服务的可行性。（周晓编译）,422,旅游,所罗门群岛,公交 HCC 短途 票价 所罗门 ,所罗门群岛皇家警察部队 基础设施发展部的道路运输管理局,2023.1.29,191,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227839&idx=1&sn=ce22493815380a7d6036f13cc5fda254&chksm=bef6df098981561f0154b68a907074fb02ade2a33e08a034b545e5e73e66df74033e4b23234c#rd
